label,text
polydipsia,I am just always thirsty. I drink and drink but am still thirsty.
mass at lower extremities,"While I was getting dressed the other day, I noticed a lump in my leg and now it's making it hard for me to walk."
mass at lower extremities,There is a mass in my legs.
tachycardia,My heart rate is higher than normal and it's causing me discomfort.
headache,I have frequent head pain especially in winter.
polydipsia,I drink water all the time but I can't seem to get rid of this excessive thirst.
heartburn,I've been experiencing heartburn all day.
epistaxis,Over the past month I have experienced an increase in blood loss from my nose.
tachycardia,"When I engage in less vigrous excercises, I experience a rapid heart rate."
epistaxis,My epistaxis symptoms do not get any better.
mass at lower extremities,I have a mass at legs.I feel numness in legs. I do not know the reason.
dyspnea,"I struggle with dyspnea, a condition that affects my ability to breathe properly."
weight loss,"I was in bed rest for a week due to back pain, and now I am experiencing sudden weight loss even after having a normal diet."
heartburn,It feels like I’ve been experiencing acid reflux.
weight loss,"I am having trouble gaining weight, I eat alot but instead I could lose weight if I skip a meal."
polydipsia,I've been super thirsty! I can't help but drink excessive amounts of water.
epistaxis,I have been having problems with my nose bleeding lately and can't stop it.
fatigue,I feel like I have no motivation.
weight loss,"I have been monitoring my calories lately, and I can't figure out why my weight is fluctuating like it is. I have been experiencing weight loss, which has been unintentional: I actually have been eating to gain weight. My diet journal confirms this increase in calories."
heartburn,I have a lot of acid in my throat that is causing discomfort.
epistaxis,My nose is bleeding a lot more than normal and it happens at the most unexpected times so I am here to figure out why.
headache,forehead pressure
polydipsia,I have been told that I have polydipsia
tachycardia,I have been experiencing episodes of tachycardia.
tachycardia,Tachycardia has become a recurring issue for me.
fever,I have a fever and feel quite warm to the touch.
tachycardia,My heart is starting to race without any reason even if I don't do anything physical. It beats really fast.
tachycardia,I have been struggling with tachycardia for a while now.
mass at lower extremities,There is a bulge of skin coming out of the side of my leg higher than my thigh
fatigue,"Since I have been very depressed, I have been experiencing low energy."
polydipsia,I've observed that I am drinking water excessively.
headache,"Every day, about mid afternoon, I get a sharp pain in my head. It's usually only my right side near my temple and lasts for about 20 minutes."
heartburn,I have a burning sensation in my chest.
tachycardia,Tachycardia has become a concern for my overall health.
mass at lower extremities,"I recently found a lump on my inner left thigh. I first noticed it about 2 weeks ago, and thought I'd better get it checked out when it didn't go away."
dyspnea,I just feel like I am being smothered or suffocated. Almost feels like I am under water.
fatigue,"I've been feeling very tired, like I can hardly do the housework I need to do anymore. I wake up, get up, but I have no energy to do anything. Also, when I go out, I feel so weak that I have to sit down somewhere."
headache,Lately I've been having headaches that feel like a ton of pressure right to my forehead.
heartburn,Acid Reflux
dyspnea,My dyspnea has caused me to experience difficulty breathing and shortness of breath.
mass at lower extremities,There is some kind of lump on my left thigh. Right in between my legs there.
weight loss,cannot gain weight
fever,I’ve got a high temperature and I checked it with a thermometer. It’s 110 degrees.
fatigue,The fatigue is making it hard for me to keep up with my usual routine.
fatigue,I've noticed a significant loss of strength in my left hand that has gotten much worse recently.
fever,My temperature is high
fatigue,I get really fatigued after walking a short distance.
fatigue,The fatigue is becoming unbearable and affects my quality of life.
dyspnea,I feel like I can't get enough oxygen.
polydipsia,I have been really thirsty lately. I have been drinking a lot of water maybe too much. I have been drinking probably 15 glasses a day.
tachycardia,My heart is beating really fast all the time.
epistaxis,I have high blood pressure and because of that I have been hemorrhaging from the nasal cavity.
polydipsia,excess drinking
dyspnea,I've been experiencing dyspnea for a couple of weeks now since I started working in the factory nearby our house. We are packing goods there but even though when i'm sitting only i'm still experiencing it.
weight loss,I am experiencing weight loss but I am not trying to
epistaxis,My epistaxis has caused me to experience frequent nosebleeds and difficulty stopping the bleeding.
dyspnea,Taking a breath is a struggle for me
dyspnea,I am having difficulty in breathing. I cannot breathe properly
polydipsia,always thirsty
heartburn,"My Mom, sometimes coughs so hard that she nearly gags and throws up. She says that she tastes acid everything this happens"
tachycardia,My heart feels like it's beating faster than it should.
weight loss,I've noticed I've started losing weight. No matter how much I eat I'm not gaining weight.
fatigue,I have been experiencing lots of fatigue and overall body pain throughout the entire day.
mass at lower extremities,I've got a bad case of mass at lower extremities right now.
heartburn,I have this burning feeling in the top part of my chest.
epistaxis,Every few days before I go to bed I will start to experience some bleeding from the nose.
tachycardia,My heart rate seems higher than normal.
mass at lower extremities,I have a bump on my calf.
fever,I am really hot and sweaty and uncomfortable and it just feels like my temperature is higher than it should be so I think I have a fever.
weight loss,I no longer fill out my clothes the way I used to.
mass at lower extremities,My legs and feet have some type of mass in them. Help.
fatigue,body pain
tachycardia,My heart rate is elevated and uneven.
epistaxis,My epistaxis symptoms include frequent nosebleeds and difficulty stopping the bleeding.
heartburn,This pregnancy the acid reflux is bad I can’t lay down
headache,My head is throbbing with a headache.
fatigue,"i dont feel like myself, i dont feel as strong as i usually do, im feeling weak and unable to carry out my day to day tasks"
fatigue,"Throughout the day I started feeling very weak and tired, all of my energy is depleted and that usually doesn't happen until I do something that requires a lot of my energy."
mass at lower extremities,I can't seem to get rid of this mass at my lower extremities.
weight loss,I can't gain any weight no matter what I do.
fever,I feel hot and cold and I think I have a fever.
weight loss,I have been struggling with rapid weight loss.
tachycardia,"I am feeling really jittery, and my heart is racing. This happens sometimes when I'm thinking about work or school."
fever,I think I have a fever.
tachycardia,Sometimes when I'm sleeping i feel like my heart beat rate increased and it will lead to a Heart attack.
tachycardia,tachycardia
epistaxis,My epistaxis symptoms include frequent nosebleeds and difficulty stopping the bleeding.
heartburn,My heartburn is causing a lot of discomfort.
weight loss,I am no longer carrying as much weight as I used to.
dyspnea,cant breath
tachycardia,I have been experiencing tachycardia regularly.
dyspnea,"I am dealing with dyspnea, a condition that affects my ability to breathe."
dyspnea,"Sometime, even when I'm resting it is difficult to breathe properly.  I can get very out of breath."
fever,"My body temperature is elevated, indicating a fever."
dyspnea,"Even when I am completely relaxed, I can't seem to catch my breath"
fatigue,I have been feeling very weak and tired for the last week.
epistaxis,I have been bleeding from the nose.
mass at lower extremities,I think I have a firm mass at my lower extremities
epistaxis,My brother hit me in the nose and now it keeps bleeding
epistaxis,When I wake in the morning there is blood on my pillow.
fatigue,"I've been really tired lately, but I can't sleep in my own without melatonin. Even with melatonin and 8 hours of sleep from taking it, I still don't feel refreshed."
heartburn,"I went to an Italian restaurant and had lasagna for dinner. Afterwards, I experienced cardialgia."
heartburn,The pain from my heartburn is intense.
dyspnea,Doctor i can just walk from one room to another or get up from sitting down and will experience shortness of breath
fatigue,"Doc, i dont know how to explain it but everything hurts.  My entire body.  Everything.  I tried soaking in a tub but that hurt.  Wouldnt even consider a massage.   I have no energy or motivation to do anything because it just hurts and i just cant physically move.  Its been gradually getting worse since i left the military."
mass at lower extremities,lump at lower extremities
weight loss,I have an ongoing issue with weight loss and need to take action to address it.
epistaxis,I've started getting nosebleeds out of the blue the past month. Is it a nasal issue? Something wrong with my brain?
fatigue,"I'm not feeling myself lately. No matter how much sleep I get, I am completely exhausted."
weight loss,I am here because I recently lost 20 pounds but I haven't been making any effort to lose weight. All of this unexpected weight loss is starting to scare me.
mass at lower extremities,"When I go on long walks, my legs and feet are really sore the next day."
fatigue,"I sleep good, i drink a lot of water and i eat very healthy but for some reason im always feeling tired."
weight loss,I have not changed my diet or exercise habits but I keep losing weight.
weight loss,"I have noticed that I am not gaining weight. In fact, I seem to be losing weight without any effort."
polydipsia,I have been so thirsty lately and cannot stop drinking juice.
fatigue,The fatigue is making it hard for me to get out of bed in the morning.
dyspnea,My dyspnea symptoms include difficulty breathing and shortness of breath.
fever,My son came back from playing outside and the next day he had a high fever.
weight loss,I went on a cruise and ate cake every day but I still lost weight.
mass at lower extremities,I've been experiencing a mass at my lower extremities all day.
weight loss,unintentional weight loss
tachycardia,I am having trouble catching my breath due to my fast heart rate.
polydipsia,For the last one week i am getting  Excessive Thirst in the night than in the day.
fever,I have a high fever and am experiencing sweating and chills.
polydipsia,No matter how much water I drink it seems like it isn't enough.
weight loss,I'm concerned about my health due to my recent weight loss.
dyspnea,Breathing is labored for me
epistaxis,I was out in the heat and started tasting blood going down the back of my throat.
fever,I'm experiencing a high temperature.
fever,I am dealing with a fever and it's affecting my mental health.
polydipsia,"No matter how much I drink, I am still thirsty, I'm feeling excessive thirst."
headache,"Doctor, I have a pain in my head.  It isn't a headache it is just a pain going through my head."
weight loss,"I am concerned because even though I am following the high calorie diet, I am still not gaining weight properly and am not losing weight intentionally."
mass at lower extremities,mass at feet
heartburn,I’ve had discomfort in my throat for the last 3 days after I swallow
dyspnea,My dyspnea symptoms include shortness of breath and difficulty catching my breath.
fatigue,After cooking dinner every evening I am left with a bodyache and my heart would start palpitating rapidly.
fever,I have a fever and it's affecting my appetite.
fever,"I keep getting these fevers all of the time, even though I have been eating plenty of watermelon, which is known to lower fevers."
fatigue,I have no energy and it feels like my whole body is completely sore
weight loss,I am losing weight without dieting or changing my eating habits. I don't know  why this is happening
headache,"I feel this tension in my forehead, and it really hurts and I don't know why."
mass at lower extremities,I feel a mass at my lower extremities
fatigue,"I get plenty of sleep at night, but there are days when I get tired a bit too quickly."
epistaxis,I have a hard time controlling my nosebleeds.
weight loss,I have noticed received that I have lost some weight that I wasn't planning on losing.
dyspnea,When I climb the stairs to my apartment I get shortness of breath.
dyspnea,My dyspnea symptoms make it difficult for me to engage in physical activity.
heartburn,After I eat spicy foods I have a burning sensation in the middle of my chest and upper abdomen.
heartburn,I have been having acid indigestion and it is hard to eat any food.
weight loss,I noticed that my body weight started to decrease
dyspnea,I have uncomfortable breathing and find it hard to get a deep breath. My breath feels shallow.
tachycardia,Rapid Heart Rate
fatigue,Sometimes I'll be driving to the store and I just get a sudden feeling of tiredness. Or I'll be walking in the house and suddenly just get so exhausted I have to lay down for a little bit.
weight loss,I dropped about 30 pounds in only a few weeks.
epistaxis,My epistaxis has caused frequent nosebleeds and difficulty stopping the bleeding.
weight loss,There is unexpected weight loss though I have not tried to lose weight.
dyspnea,I have been feeling really uncomfortable breathing lately.
fatigue,"I have been tired, like extremely lethargic lately."
epistaxis,I've been getting nosebleeds randomly.
fever,fever
fatigue,I am dealing with a lot of fatigue and it's affecting my mood.
fever,I went to an event with a lot of people and now I have a fever.
fever,"Ever since going to a party yesterday, I've been really feverish and after taking my temperature, it came back with 100 degrees."
fever,I have had a temperature for three days but no other symptoms.
dyspnea,cannot breath
fever,goosebumps
headache,I feel like I have a really bad throbbing headache across my forehead
polydipsia,My mouth is so dry and I;m so thirsty all the time.
fatigue,It’s hard to do every day activities because I have body ache and don’t want to move.
heartburn,burning pain in stomach
fever,I started feeling febrile after a headache a couple days ago.
weight loss,I've been eating a lot but I keep losing weight.
headache,My forehead has felt really tight lately and I don't know why. It gives me a headache.
heartburn,I have this burning feeling in the pit of my chest. It feels like it is on fire. I drink water but it does not stop the pain.
heartburn,It feels uncomfortable in my chest that moves up my neck and throat
heartburn,I have a burning in my chest and throat.
fatigue,I have a constant feeling of fatigue that won't go away.
epistaxis,I frequently have nosebleeds.
fatigue,feeling lazy
fatigue,I feel fatigue. I am unable to work . I feel lazy.
mass at lower extremities,Lump at thighs at the mass tip.
fever,I am running a fever at the moment.
mass at lower extremities,"I found a mass in my calf, it hurts a little but not too bad."
dyspnea,"It's hard for me to breath, and my lungs hurt whenever I walk."
mass at lower extremities,The discomfort from the mass at lower extremities is intense.
polydipsia,I have been experiencing polydipsia recently
mass at lower extremities,I feel like I have a mass on my hip. I was doing normal day to day stuff and something on hip started to bother me. I felt around and found this mass like thing on my hip. Not sure how it go there. It can be a little painful at times.
mass at lower extremities,I have a lump on my hip.
weight loss,I have been dropping pounds to the point where I had to get new clothes and I don't know why
epistaxis,I have to put pressure on my nostrils often to stop my nose from bleeding
heartburn,"I always feel uncomfortable in my stomach. I feel it is burning, and hot in my throat."
mass at lower extremities,I hope this mass at lower extremities is not a symptom of something serious.
polydipsia,I've observed that I am drinking a lot more water.
epistaxis,"My nose keeps bleeding all of the time, even when there's plenty of humidity."
headache,I hope this headache is not a migraine.
fatigue,It is difficult for me to do normal activities because lately I seem to be having no energy.
tachycardia,fast heartbeat
epistaxis,"Every morning, for the past week I have been getting nosebleeds."
fever,"I have been feeling really hot, like I have a fever."
headache,When I am working I feel painful in my head.
fatigue,I just got over encumbered very quickly. An overwhelming weakness came over me.
dyspnea,I have been getting short of breath when I walk.
heartburn,My chest feels like it is burning and on fire.
weight loss,"I have been following a balanced diet, with carbs, fats, proteins in equal quantities, but still I am not gaining weight, and also losing weight unintentionally."
heartburn,I have been eating and drinking a lot and due to that maybe I am feeling this chest burn that doesn't seems to go away no matter how much water I drink
polydipsia,I have been feeling very thirsty lately and cannot stop drinking fluids.
fever,My body temperature is elevated.
fatigue,feeling of tiredness
fatigue,I am feeling physically and mentally fatigued.
fever,febrile
fatigue,I have had an overwhelming feeling of tiredness lately. It came on fairly quickly about two weeks ago. I have no energy and it is really difficult to et anything done.
weight loss,I have become slimmer.
fever,I have a fever and it's causing a lot of discomfort.
headache,"For the past month, quite often, I feel a lot of forehead pressure. Taking advil and relaxing doesn't seem to relieve it."
epistaxis,Blood keeps coming out of my nose.
dyspnea,I have dyspnea which results in difficulty breathing.
dyspnea,Over the past month I have experienced an increase in feeling like I cannot breath during the night.
