phase,id,name,simple_name,description,Category,synonyms,question,gender,is_searchable,is_askable,neo4j_id,types
,1040,Recent blood transfusion,Receiving blood or blood products through the vein,Receiving blood or blood products through the vein,Procedure / Surgery,"recent Blood infusion, recent Blood replacement, recent Blood product administration, receiving blood recently",Have you recently had a blood transfusion?,both,False,True,381,etiology
,1039,History of myasthenia gravis,Previous myasthenia gravis diagnosis,Myasthenia Gravis is a disease that causes muscle weakness,Disease / Medical Condition,"previously diagnosed with myasthenia gravis, a past record of myasthenia gravis, myasthenia gravis is part of the medical background, a previous occurrence of myasthenia gravis, dealing with myasthenia gravis before, having myasthenia gravis in the past, a past diagnosis of myasthenia gravis, experienced myasthenia gravis at some point in life, myasthenia gravis in the medical records, history of MG, history of the snowflake disease, history of Autoimmune neuromuscular junction disorder",Have you been diagnosed with {Myasthenia Gravis}[Myasthenia Gravis is a disease that causes muscle weakness]?,both,False,True,229,etiology
,1038,History of Guillain-Barré syndrome, Previous diagnosis of Guillain-Barré syndrome,Guillain-Barré syndrome is a rare disorder in which your body's immune system attacks your nerves,Disease / Medical Condition,"previously diagnosed with Guillain-Barré syndrome, a past record of Guillain-Barré syndrome, Guillain-Barré syndrome is part of the medical background, a previous occurrence of Guillain-Barré syndrome, dealing with Guillain-Barré syndrome before, having Guillain-Barré syndrome in the past, a past diagnosis of Guillain-Barré syndrome, experienced Guillain-Barré syndrome at some point in life, Guillain-Barré syndrome in the medical records, history of GBS, history of Guillain–Barré–Strohl syndrome, history of Landry's paralysis, history of postinfectious polyneuritis, history of Acute inflammatory demyelinating polyneuropath, history of Acute motor axonal neuropathy, history of AIDP, history of AMAN, history of Acute motor and sensory axonal neuropathy",Have you been diagnosed with {Guillain-Barré syndrome}[Guillain-Barré syndrome is a rare disorder in which your body's immune system attacks your nerves]?,both,False,True,368,etiology
,1037,Abnormal penile curvature,Bent penis,Abnormal penile curvature is a significant bend in the penis during erection that could cause pain or difficulty during sex,Disease / Medical Condition,"bent penis, Peyronie's disease, Penile deformity, Penile angulation",Do you have {abnormal penile curvature}[Abnormal penile curvature is a significant bend in the penis during erection that could cause pain or difficulty during sex]?,male,False,True,375,etiology
,1036,Sexual performance anxiety,Feeling nervous before or during sex,Being nervous before or during sex,Symptom,"SPA, Sexual performance fear, Bedroom anxiety, Sexual apprehension, Sexual performance worry, Intimacy anxiety, Sexual confidence issues",Are you nervous before or during sex?,both,False,True,306,etiology
,1035,History of prostate surgery,Past prostate surgery,Prostate is a small gland in males that produces the fluid that nourishes and transports sperm,Procedure / Surgery,"previously undergone prostate surgery, a past record of prostate surgery, prostate surgery is part of the medical background, dealing with prostate surgery before, having prostate surgery in the past, experienced prostate surgery at some point in life, prostate surgery in the medical records, had prostate operation, history of prostate procedure",Have you undergone a {prostate}[Prostate is a small gland in males that produces the fluid that nourishes and transports sperm] surgery?,male,False,True,19,etiology
,1034,Tension in relationship,Relationship stress,Relationship stress,Risk factor,"problems with intimate partner, problem with spouse, emotional tension with partner, Relationship strain, Relationship conflict, Relationship stress, Relationship discord, Relationship unease, Relationship difficulties, Relationship problems, Relationship rift, Relationship dissatisfaction",Do you have emotional or sexual tension in the relationship with your romantic partner?,both,False,True,163,etiology
,1029,Family history of hereditary rickets,Family history of inherited rickets,Rickets is the softening and weakening of bones in children that is usually because of an extreme and prolonged vitamin D deficiency,Family History,"Ancestral background of hereditary rickets, Genetic heritage of hereditary rickets, Inherited predisposition to hereditary rickets, hereditary rickets runs in the family, hereditary rickets is prevalent in family, There is a familial link to hereditary rickets, hereditary rickets is present among relatives, hereditary rickets has a familial association, hereditary rickets is common in the family lineage, There is a family tendency for hereditary rickets, hereditary rickets is a familial trait, hereditary rickets has been seen in multiple family members, mother had hereditary rickets, father had hereditary rickets, grandpa had hereditary rickets, grandma had hereditary rickets",Do you have a family history of {Rickets}[Rickets is the softening and weakening of bones in children that is usually because of an extreme and prolonged vitamin D deficiency]?,both,False,True,267,etiology
,1027,History of wilson's disease,Past diagnosis of Wilson's disease,Wilson's disease is a rare genetic disorder that causes copper to be stored in different body tissues,Disease / Medical Condition,"previously diagnosed with wilson's disease, a past record of wilson's disease, wilson's disease is part of the medical background, a previous occurrence of wilson's disease, dealing with wilson's disease before, having wilson's disease in the past, a past diagnosis of wilson's disease, experienced wilson's disease at some point in life, wilson's disease in the medical records, history of hepatolenticular degeneration, history of Copper toxicosis, history of Hepatolenticular dystrophy, history of Copper storage disease",Have you been diagnosed with {Wilson's disease}[Wilson's disease is a rare genetic disorder that causes copper to be stored in different body tissues],both,False,True,349,etiology
,1026,Migraine,,Migraine is a moderate or severe headache felt as a throbbing pain on one side of the head,Disease / Medical Condition,"throbbing pain on one side of the head, chronic ache of half of head ",Have you been diagnosed with {migraine}[Migraine is a moderate or severe headache felt as a throbbing pain on one side of the head]?,both,False,True,268,"disease, etiology"
,1022,Intracranial aneurysm,An abnormal focal dilation of an artery in the brain,Intracranial aneurysm is a bulge or ballooning in a blood vessel in the brain,Disease / Medical Condition,"Brain Aneurysm, cerebral aneurysm, blood vessel ballooning in the brain, bulge in a blood vessel in the brain, focal dilation of an artery in the brain",Were you diagnosed with {Intracranial Aneurysm}[Intracranial aneurysm is a bulge or ballooning in a blood vessel in the brain]?,both,False,True,365,etiology
,1021,Brain surgery,Head surgery,Operation to the Brain,Procedure / Surgery,"Head surgery, head operation, head procedure, brain operation, brain procedure",Have you recently undergone brain surgery?,both,False,True,341,etiology
,1020,History of gastrointestinal bleeding,vomiting blood or noticing blood in poop,Vomiting blood or noticing blood in poop,Symptom,"previously diagnosed with gastrointestinal bleeding, a past record of gastrointestinal bleeding, gastrointestinal bleeding is part of the medical background, a previous occurrence of gastrointestinal bleeding, dealing with gastrointestinal bleeding before, having gastrointestinal bleeding in the past, a past diagnosis of gastrointestinal bleeding, experienced gastrointestinal bleeding at some point in life, gastrointestinal bleeding in the medical records, history of Gastrointestinal hemorrhage, GI bleeding, history of GI hemorrhage, history of Digestive tract bleeding, history of Intestinal bleeding, recently vomited blood, recently noticed blood in poop",Did you recently vomit blood or notice blood in your poop?,both,False,True,269,"etiology, symptom"
,1019,History of TIPS,,Transjugular Intrahepatic Portal-Systemic Shunt is a procedure to create a tract within the liver to connect the veins,Procedure / Surgery,"dealt with TIPS, a record of TIPS, TIPS is part of the medical background, an occurrence of TIPS, having TIPS in the past, experienced TIPS, TIPS in the medical records, history of Transjugular intrahepatic portosystemic shunt, history of  Transjugular liver shunt, history of Hepatic shunt",Have you undergone a {Transjugular Intrahepatic Portal-Systemic Shunt}[Transjugular Intrahepatic Portal-Systemic Shunt is a procedure to create a tract within the liver to connect the veins] procedure?,both,False,True,76,etiology
,1017,History of renal transplant,,Kidney transplant is the organ transplant of a kidney into a patient with kidney disease,Procedure / Surgery,"dealt with renal transplant, a record of renal transplant, renal transplant is part of the medical background, an occurrence of renal transplant, having renal transplant in the past, experienced renal transplant, renal transplant in the medical records, history of Kidney transplant, history of Renal graft",Did you have a {kidney transplant}[Kidney transplant is the organ transplant of a kidney into a patient with kidney disease]?,both,False,True,270,etiology
,1016,Young age at first sexual intercourse,,Sexual intercourse before the age of 14,Reproductive/sexual status,"sexual intercourse before the age of 14, having first sex early, first sex before 14 years old",Did you have sexual intercourse before the age of 14?,female,False,True,271,etiology
,1015,Lactation failure,Unsuccessful breastfeeding,Having issues producing milk while breastfeeding,Disease / Medical Condition,"insufficient breast milk, breastfeeding failure, Unsuccessful breastfeeding, issues producing milk",Do you have issues producing milk while breastfeeding? ,female,False,True,272,symptom
,1014,History of hemochromatosis,,Hemochromatosis is a condition in which too much iron builds up in the body,Disease / Medical Condition,"previously diagnosed with hemochromatosis, a past record of hemochromatosis, hemochromatosis is part of the medical background, a previous occurrence of hemochromatosis, dealing with hemochromatosis before, having hemochromatosis in the past, a past diagnosis of hemochromatosis, experienced hemochromatosis at some point in life, hemochromatosis in the medical records, history of Iron overload disorder, history of Bronze diabetes, history of Iron metabolism disorder",Have you been diagnosed with {hemochromatosis}[Hemochromatosis is a condition in which too much iron builds up in the body]?,both,False,True,53,etiology
,1012,History of pulmonary hypertension,,Pulmonary hypertension happens when the pressure in the blood vessels from the heart to the lungs is too high,Disease / Medical Condition,"previously diagnosed with pulmonary hypertension, a past record of pulmonary hypertension, pulmonary hypertension is part of the medical background, a previous occurrence of pulmonary hypertension, dealing with pulmonary hypertension before, having pulmonary hypertension in the past, a past diagnosis of pulmonary hypertension, experienced pulmonary hypertension at some point in life, pulmonary hypertension in the medical records, history of PH, history of PHTN",Have you been diagnosed with {pulmonary hypertension}[Pulmonary hypertension happens when the pressure in the blood vessels from the heart to the lungs is too high]?,both,False,True,79,"etiology, symptom"
,1011,History of thrombocytopenia,,Thrombocytopenia is a condition that occurs when the platelet count in your blood is too low,Disease / Medical Condition,"previously diagnosed with thrombocytopenia, a past record of thrombocytopenia, thrombocytopenia is part of the medical background, a previous occurrence of thrombocytopenia, dealing with thrombocytopenia before, having thrombocytopenia in the past, a past diagnosis of thrombocytopenia, experienced thrombocytopenia at some point in life, thrombocytopenia in the medical records, history of Low platelet count, history of Platelet deficiency,  history of Low blood platelet levels,  history of Decreased platelet count,  history of Platelet shortage",Have you been diagnosed with {thrombocytopenia}[Thrombocytopenia is a condition that occurs when the platelet count in your blood is too low]?,both,False,True,342,"etiology, symptom"
,1010,History of Autoimmune Hemolytic Anemia,,Autoimmune Hemolytic Anemia is a rare immune disorder that happens when your body mistakes red blood cells as foreign substances and attacks them,Disease / Medical Condition,"previously diagnosed with Autoimmune Hemolytic Anemia, a past record of Autoimmune Hemolytic Anemia, Autoimmune Hemolytic Anemia is part of the medical background, a previous occurrence of Autoimmune Hemolytic Anemia, dealing with Autoimmune Hemolytic Anemia before, having Autoimmune Hemolytic Anemia in the past, a past diagnosis of Autoimmune Hemolytic Anemia, experienced Autoimmune Hemolytic Anemia at some point in life, Autoimmune Hemolytic Anemia in the medical records, history of AIHA, history of Autoimmune red cell destruction, history of Autoimmune erythrocyte destruction, history of AIHA",Have you been diagnosed with {Autoimmune Hemolytic Anemia}[Autoimmune Hemolytic Anemia is a rare immune disorder that happens when your body mistakes red blood cells as foreign substances and attacks them]?,both,False,True,273,etiology
,1009,History of  Immune Thrombocytopenic Purpura,,Immune thrombocytopenic purpura is a blood disorder that causes a decrease in the number of platelets in the blood,Disease / Medical Condition,"previously diagnosed with Immune Thrombocytopenic Purpura, a past record of Immune Thrombocytopenic Purpura, Immune Thrombocytopenic Purpura is part of the medical background, a previous occurrence of Immune Thrombocytopenic Purpura, dealing with Immune Thrombocytopenic Purpura before, having Immune Thrombocytopenic Purpura in the past, a past diagnosis of Immune Thrombocytopenic Purpura, experienced Immune Thrombocytopenic Purpura at some point in life, Immune Thrombocytopenic Purpura in the medical records, history of Idiopathic Thrombocytopenic Purpura, history of Autoimmune Platelet Disorder, history of ITP",Have you been diagnosed with {Immune thrombocytopenic purpura}[Immune thrombocytopenic purpura is a blood disorder that causes a decrease in the number of platelets in the blood]?,both,False,True,277,etiology
,1007,History of addison's disease,,Addison's disease is a disorder that occurs when your body doesn't produce enough of certain hormones,Disease / Medical Condition,"previously diagnosed with addison's disease, a past record of addison's disease, addison's disease is part of the medical background, a previous occurrence of addison's disease, dealing with addison's disease before, having addison's disease in the past, a past diagnosis of addison's disease, experienced addison's disease at some point in life, addison's disease in the medical records, history of Adrenal insufficiency, history of Adrenocortical insufficiency, history of Hypocortisolism, history of Adrenal gland failure, history of Addisonian crisis, history of Hypoadrenalism",Have you been diagnosed with {Addison's disease}[Addison's disease is a disorder that occurs when your body doesn't produce enough of certain hormones]?,both,False,True,388,etiology
,1006,History of pernicious anemia,,"Pernicious anemia is when the body cannot absorb enough vitamin B12 in the small intestine, causing a drop in red blood cells",Disease / Medical Condition,"previously diagnosed with pernicious anemia, a past record of pernicious anemia, pernicious anemia is part of the medical background, a previous occurrence of pernicious anemia, dealing with pernicious anemia before, having pernicious anemia in the past, a past diagnosis of pernicious anemia, experienced pernicious anemia at some point in life, pernicious anemia in the medical records, History of Vitamin B12 deficiency anemia, history of Biermer's anemia, history of Addison–Biermer anemia","Have you been diagnosed with {pernicious anemia}[Pernicious anemia is when the body cannot absorb enough vitamin B12 in the small intestine, causing a drop in red blood cells]?",both,False,True,111,"etiology, instance, symptom"
,1005,History of vasculitis,,Vasculitis is an inflammation of the blood vessels,Disease / Medical Condition,"previously diagnosed with vasculitis, a past record of vasculitis, vasculitis is part of the medical background, a previous occurrence of vasculitis, dealing with vasculitis before, having vasculitis in the past, a past diagnosis of vasculitis, experienced vasculitis at some point in life, vasculitis in the medical records, history of Angiitis, history of Vascular inflammation, history of Vessel wall inflammation",Have you been diagnosed with any type of {vasculitis}[Vasculitis is an inflammation of the blood vessels]?,both,False,True,117,etiology
,1004,History of dermatomyositis,,Dermatomyositis is a rare disease that causes muscle weakness and skin rash,Disease / Medical Condition,"previously diagnosed with dermatomyositis, a past record of dermatomyositis, dermatomyositis is part of the medical background, a previous occurrence of dermatomyositis, dealing with dermatomyositis before, having dermatomyositis in the past, a past diagnosis of dermatomyositis, experienced dermatomyositis at some point in life, dermatomyositis in the medical records, history of inflammatory myopathy with skin involvement, history of Connective tissue disease myositis, history of Polymyositis with skin rash",Have you been diagnosed with {Dermatomyositis}[Dermatomyositis is a rare disease that causes muscle weakness and skin rash]?,both,False,True,374,etiology
,1003,History of fetal malpresentation,Unusual baby position as the birth approaches,Having the baby in an unusual position as the birth approaches,Disease / Medical Condition,"dealt with fetal malpresentation, a record of fetal malpresentation, fetal malpresentation is part of the medical background, an occurrence of fetal malpresentation, having fetal malpresentation in the past, experienced fetal malpresentation, fetal malpresentation in the medical records, history of Abnormal fetal presentation,  history of Abnormal fetal position,  history of Malposition of the fetus,  history of Fetal malalignment,  history of Abnormal fetal lie, history of baby with breech presentation at womb,  history of Transverse presentation of baby in womb",Did you give birth to a baby that was not in a {usual position}[The usual position is when the baby's head is down and facing your back] at birth?,female,False,True,278,symptom
,1002,History of low birth weight,,Delivering an underweight baby who has a weight less than 2500 grams,Disease / Medical Condition,"dealt with low birth weight, a record of low birth weight, low birth weight is part of the medical background, an occurrence of low birth weight, having low birth weight in the past, experienced low birth weight, low birth weight in the medical records, history of Small for gestational age, history of SGA,  history of Low birth mass, history of Low birth size, history of Birth weight below the percentile, history of Birth weight below the normal range, history of Small newborn size, history of Low birthweight infant, history of Underweight at birth",Was your baby {underweight}[Underweight is having weight less than 2500 grams] at birth?,female,False,True,279,"etiology, symptom"
,998,In-utero exposure to diethylstilbestrol,Mother taking Diethylstilbestrol (an estrogen medication) while she was pregnant with you,Mother taking Diethylstilbestrol (an estrogen medication) while she was pregnant with you,Medication,"in utero DES exposure while mother was pregnant, mother taking miscarriage prevention medication in pregnancy, mother taking diethylstilbestrol during pregnancy, exposure to Stilbestrol in the womb, exposure to Stilphostrol in the womb, exposure to Distilbene in the womb",Did your mother take {diethylstilbestrol}[Diethylstilbestrol is an estrogen medication to help reduce miscarriage and preterm labor] while she was pregnant with you?,female,False,True,283,etiology
,997,HPV infection,,The Human Papillomavirus is a common viral infection that spreads through sex,Disease / Medical Condition,"Papillomavirus infection, Genital warts, HPV disease, Human wart virus, Condyloma acuminatum, Anogenital warts, Human papillomavirus infection",Have you been diagnosed with {Human Papillomavirus}[The Human Papillomavirus is a common viral infection that spreads through sex] infection?,both,False,True,284,etiology
,995,History of lynch syndrome,,Lynch syndrome is an inherited condition that makes you more likely to have some types of cancer,Disease / Medical Condition,"previously diagnosed with lynch syndrome, a past record of lynch syndrome, lynch syndrome is part of the medical background, a previous occurrence of lynch syndrome, dealing with lynch syndrome before, having lynch syndrome in the past, a past diagnosis of lynch syndrome, experienced lynch syndrome at some point in life, lynch syndrome in the medical records, history of LS, history of hereditary nonpolyposis colorectal cancer, history of HNPCC",Have you been diagnosed with {Lynch syndrome}[Lynch syndrome is an inherited condition that makes you more likely to have some types of cancer]?,both,False,True,40,etiology
,993,Family history of alzheimer's disease,,"Alzheimer's is a type of dementia that affects memory, thinking and behavior",Family History,"Ancestral background of alzheimer's disease, Genetic heritage of alzheimer's disease, Inherited predisposition to alzheimer's disease, alzheimer's disease runs in the family, alzheimer's disease is prevalent in family, There is a familial link to alzheimer's disease, alzheimer's disease is present among relatives, alzheimer's disease has a familial association, alzheimer's disease is common in the family lineage, There is a family tendency for alzheimer's disease, alzheimer's disease is a familial trait, alzheimer's disease has been seen in multiple family members, mother had alzheimer's disease, father had alzheimer's disease, grandpa had alzheimer's disease, grandma had alzheimer's disease, family history of AD","Do you have a family history of {Alzheimer's disease}[Alzheimer's is a type of dementia that affects memory, thinking and behavior]?",both,False,True,327,etiology
,992,Teeth grinding,,Often grinding and holding teeth hard together,Risk factor,"Bruxism, Teeth clenching, Jaw clenching, Teeth gnashing",Do you often grind and hold your teeth hard together?,both,False,True,288,etiology
,991,Tenderness in outer elbow,Outer elbow hurts when touched,Feeling pain when touching or applying pressure to outer elbow,Symptom,"outer elbow hurts by touching, pain in the outer elbow when touched, pain at chelidon when applying a pressure, pain at the triangular area on the anterior view of the elbow when touched, elbow is sore to touch",Does it hurt when you touch or apply pressure to your outer elbow?,both,False,False,427,symptom
,990,History of a forceful arm pull,,Having a child who had an arm pulled or twisted very hard,Risk factor,"dealt with a forceful arm pull, a record of a forceful arm pull, a forceful arm pull is part of the medical background, an occurrence of a forceful arm pull, having a forceful arm pull in the past, experienced a forceful arm pull, a forceful arm pull in the medical records",Did your child ever have an arm pulled or twisted very hard?,both,False,True,320,etiology
,988,History of ankylosing spondylitis,,Ankylosing spondylitis is a type of arthritis that causes inflammation in the joints and ligaments of the spine,Disease / Medical Condition,"previously diagnosed with ankylosing spondylitis, a past record of ankylosing spondylitis, ankylosing spondylitis is part of the medical background, a previous occurrence of ankylosing spondylitis, dealing with ankylosing spondylitis before, having ankylosing spondylitis in the past, a past diagnosis of ankylosing spondylitis, experienced ankylosing spondylitis at some point in life, ankylosing spondylitis in the medical records, history of AS, history of Bekhterev's disease, history of Bechterew's disease, history of morbus Bechterew, history of Bekhterev–Strümpell–Marie disease, history of Marie–Strümpell arthritis, history of Pierre–Marie's disease",Have you been diagnosed with {ankylosing spondylitis}[Ankylosing spondylitis is a type of arthritis that causes inflammation in the joints and ligaments of the spine]?,both,False,True,289,etiology
,987,History of endometrial polyps,,Endometrial polyps are growths attached to the inner wall of the uterus,Disease / Medical Condition,"previously diagnosed with endometrial polyps, a past record of endometrial polyps, endometrial polyps is part of the medical background, a previous occurrence of endometrial polyps, dealing with endometrial polyps before, having endometrial polyps in the past, a past diagnosis of endometrial polyps, experienced endometrial polyps at some point in life, endometrial polyps in the medical records, history of Uterine polyp, history of wobm polyp, history of mass in the inner lining of the uterus, history of mass in the inner lining of the womb, history of growths at uterus , history of womb growths, history of nodules at uterus",Have you been diagnosed with {Endometrial polyps}[Endometrial polyps are growths attached to the inner wall of the uterus]?,female,False,True,290,etiology
,986,History of cervical polyps,,Cervical polyps are irregular growths on the cervix; the canal between the uterus and vagina,Disease / Medical Condition,"previously diagnosed with cervical polyps, a past record of cervical polyps, cervical polyps is part of the medical background, a previous occurrence of cervical polyps, dealing with cervical polyps before, having cervical polyps in the past, a past diagnosis of cervical polyps, experienced cervical polyps at some point in life, cervical polyps in the medical records, history of Cervical growths, history of mass in the inner lining of the cervix, history of Cervical nodules",Have you been diagnosed with {cervical polyps}[Cervical polyps are irregular growths on the cervix; the canal between the uterus and vagina]?,female,False,True,336,etiology
,985,Recent nasal procedure,,Recent nose surgery,Procedure / Surgery,"recently undergone nose procedure, had nose operation recently, recent history of nose sugery",Did you recently have a nose surgery?,both,False,True,304,etiology
,984,Recent nasal trauma,Trauma to nose,Recent injury to the nose,Risk factor,"recently dealt with nasal trauma, a recent record of nasal trauma, nasal trauma is part of the medical background, a recent occurrence of nasal trauma, dealing with nasal trauma recently, having nasal trauma recently, experienced nasal trauma recently, nasal trauma in the medical records, hitting nasal trauma recently, nasal injury, blow to nose",Did you recently injure your nose?,both,False,True,302,etiology
,951,Family history of otosclerosis,,Otosclerosis is a condition in which there's abnormal bone growth inside the ear,Family History,"Ancestral background of otosclerosis, Genetic heritage of otosclerosis, Inherited predisposition to otosclerosis, otosclerosis runs in the family, otosclerosis is prevalent in family, There is a familial link to otosclerosis, otosclerosis is present among relatives, otosclerosis has a familial association, otosclerosis is common in the family lineage, There is a family tendency for otosclerosis, otosclerosis is a familial trait, otosclerosis has been seen in multiple family members, mother had otosclerosis, father had otosclerosis, grandpa had otosclerosis, grandma had otosclerosis, family history of otospongiosis",Do you have a family history of {otosclerosis}[Otosclerosis is a condition in which there's abnormal bone growth inside the ear]?,both,False,True,291,etiology
,950,History of osteogenesis imperfecta,,Osteogenesis Imperfecta is a genetic disorder that prevents the body from building strong bones,Disease / Medical Condition,"previously diagnosed with pernicious anemia, a past record of pernicious anemia, pernicious anemia is part of the medical background, a previous occurrence of pernicious anemia, dealing with pernicious anemia before, having pernicious anemia in the past, a past diagnosis of pernicious anemia, experienced pernicious anemia at some point in life, pernicious anemia in the medical records, history of Brittle bone disease, history of Lobstein syndrome, history of fragilitas ossium, history of Vrolik disease, history of osteopsathyrosis idiopathica",Have you been diagnosed with {Osteogenesis Imperfecta}[Osteogenesis Imperfecta is a genetic disorder that prevents the body from building strong bones]?,both,False,True,299,etiology
,948,Recent hospitalization,,You were sent to the hospital in the last two days or recently,Risk factor,"Recent inpatient stay, sent to the hospital in the last two days, Recent medical admission",Have you been sent to the hospital in the last two days or more?,both,False,True,293,etiology
