phase,id,name,simple_name,synonyms,question,gender,is_searchable,is_askable,neo4j_id,types
2,256,Blurred vision,,"cannot see clearly, foggy vision, cloudy vision, blurred eyes, inability to see fine details, less precise vision, weak eyesight, distorted vision",Have you noticed your vision becoming blurry or distorted recently?,both,True,True,791,symptom
2,415,Bone deformity,,"bone defect, bone malformation, deformed bone, abnormal bone shape",Were you diagnosed with abnormal bone shapes anywhere in the body?,both,True,True,691,symptom
1,626,Bone pain,,"bone ache, bone discomfort, Osseous pain, Bone throbbing, Ostealgia
",Do you feel pain deep in your bones?,both,True,True,506,symptom
2,213,Borborygmus,Stomach rumbling,"Stomach rumbling, abdominal sounds, growling from stomach, noise from stomach, gurgling noise from stomach, increased bowel sounds, belly sound, tummy sound, bowel sound, peristaltic sound, stomach fart noise",Have you frequently been having {stomach rumblings}[Stomach rumblings are abdominal sounds made by the movement of the intestines as they push food through]?,both,True,True,822,symptom
1,856,Bradycardia,Slow heart rate,"Slow heart rate, slow pulse, slow heartbeat, slow heart rhythms, heart rate less than the lower limit",Is your heart rate less than the lower limit according to your age at the moment?,both,True,True,30,symptom
2,924,Bradykinesia,Slowness of movement,"slowly moving, reduced movement, movement difficulty, slow motion, reduced mobility, decreased motor speed",Do you feel that your movement has become recently {slower than usual}[Slower than usual is when it takes longer to rise from a chair or turn in bed for example]?,both,True,True,406,symptom
2,24,Breast fullness,Breasts feel heavy,"bust fullness, heavy bust, boobs fullness, heavy boobs, breasts feel heavy, Swollen breasts",Do your breast(s) feel unusually heavy and full?,female,True,True,211,symptom
1,615,Breast induration,Hard breast,"hard boobs, Hard breast, Breast thickening, Firmness in the breast, less elastic breast, Dense breast tissue, Breast stiffness, Hardened boob tissue, Solidity in the breast","Do your breasts partially or completely feel harder, firmer, tenser or less elastic than usual?",female,True,True,556,symptom
2,399,Breast lump,Breast mass,"breast mass, lump in boob, breast bulge, breast bump, mass in boob",Do you feel lump(s) in your breast?,female,True,True,703,symptom
2,512,Breast pain,,"breast hurts, boob ache, breast ache, boob hurts, breast discomfort",Have you been having breast pain?,female,True,True,626,symptom
2,513,Breast shrinkage,Decreased breast size,"Decreased breast size, breasts becoming less dense, boobs becoming smaller, decreased boobs size, Breast size reduction, sagging breast, Breast atrophy, Decreased breast volume, Diminished breast size, Shrunken breasts, Breast deflation, Loss of breast fullness",Have your breasts been shrinking or sagging?,female,True,True,625,symptom
2,217,Breast swelling,,"puffy breasts, breast edema, enlarged breast, breasts becoming denser, puffy boobs, boobs swelling, Gynecomastia, breast bigger in size, Increased breast size, Breast expansion, Tightness in the breasts, Breast distension, Bulging breasts",Have your breasts gotten swollen or enlarged?,Both,True,True,826,symptom
2,158,Breast tenderness,Breast sore to the touch,"Breast sore to the touch, pain when applying pressure on breast, pain when touching breast, pain when touching boobs, pain when applying pressure on boobs, boobs are sore to touch, tender boobs ",Does it hurt when you touch or apply pressure on your breast(s)?,female,True,True,858,symptom
2,151,Brittle nails,Nails break easily,"nails break easily, nails crack easily, nails split easily, weak nails, fragile nails","Do you have nails that split, crack or break easily?",both,True,True,863,symptom
2,468,Bulge at groin,Lump in lower abdomen,"lump in lower abdomen, lump in groin, inguinal mass, mass in the inner thigh, bulge in the inner thigh",Do you have a bulge or lump in your groin?,both,True,True,88,symptom
2,323,Bulging fontanel,Bulging of the soft spots of skull,"Protruding fontanel, Puffed fontanel, Enlarged fontanelle, Distended soft spot in skull, Swelling at the fontanel, Prominent fontanelle, Abnormal fontanel protrusion",Does your child have a bulge or swelling in the {fontanel}[A fontanel is the soft spot on top of the baby's head caused by spaces between the bones of the skull]?,both,True,True,759,symptom
2,427,Burning feeling from vagina,Vaginal irritation,"vaginal irritation, Vaginal stinging, Vaginal heat, vaginal warmth",Do you feel a burning sensation in your vagina?,female,True,True,681,symptom
2,500,Burning or stinging eyes,Eyes irritation,"eye irritation, Eye discomfort, eyes feel like on fire",Do you feel a burning or stinging sensation in your eyes?,both,True,True,636,symptom
2,75,Cataplexy,Sudden muscle weakness triggered by emotions,"Sudden muscle weakness triggered by emotions, sudden physical collapse after laughing, loss of muscle tone after laughing, loss of muscle tone after anger, body weakness after laughing, body weakness after anger, body suddenly collapses after anger, body suddenly collapses after embarrassment","Do you experience episodes of {cataplexy}[Cataplexy is a sudden muscle weakness triggered by strong emotions like embarrassment, laughter, surprise, or anger] where your body suddenly collapses but you remain conscious?",both,True,True,908,symptom
2,234,Change in eating habits,,"alter eating habits, recently taking a long time to chew food, recently drinking a lot of fluids to get the food down, avoiding foods with tougher textures recently, over chewing food recently, over cutting food recently, taking food in smaller bites recently, eating slowly recently, lubricating meals with sauces recently","Have you recently changed your {eating habits}[Eating habits include the way you chew your food, cutting food into small bits before eating, eating slowly, or drinking a lot of fluids to get the food down]?",both,True,True,814,symptom
1,720,Chest pain,Chest discomfort,"thoracic pain, chest hurts, heart ache, Chest discomfort, Cardiac discomfort, Cardiac pain",Do you have chest pain/discomfort?,both,True,True,512,symptom
2,106,Child pulls on or rubs the ear repeatedly,,"child pulling ear frequently, child holding ear a lot, baby pulling ear frequently, baby rubbing the ear repeatedly, baby holding ear many times, kid holding ear a lot, kid rubbing ear repeatedly",Does your child frequently pull on or rub their ear?,both,True,True,889,symptom
1,1044,Child with difficulty in reading or following,,"Child with Reading challenges, Child with a Difficulty with reading comprehension, Child with Reading struggles, Child with Difficulty in understanding written text, hard to follow an object with their eyes ",Is it difficult for your child to read or to follow an object with their eyes?,both,True,True,337,symptom
2,107,Child with poor appetite,Baby not feeling hungry,"baby loss of appetite, baby with no appetite, decreased appetite in babies, baby with poor appetite, loss of appetite in kids, baby not wanting to eat, baby not feeling hungry all the time, baby reduced desire to eat",Does your child seem to have a poor appetite?,both,True,True,199,symptom
2,433,Chorea,Strange non-vibrating involuntary movements,"abnormal involuntary movements, unpredictable movements, Jerky movements, Uncontrolled movements, Irregular motions, involuntary Dance-like movements, Rapid, random movements","Does your body make strange, random, and involuntary movements?",both,True,True,679,symptom
2,484,Cold extremities,Cold hands or feet,"Cold hands and feet, cold limbs, freezing hands and feet, peripheral coldness","Do your arms or legs, particularly the hands or feet, often get or feel cold?",both,True,True,646,symptom
1,864,Cold intolerance,Increased sensitivity to cold,"Increased sensitivity to cold, cold all the time, feeling cold easily, feeling cold easily, feeling cold even when the temperature is normal","Do you feel very cold, even when the temperature is not that low?",both,True,True,370,symptom
2,314,Confusion,,"Disorientation, Mental fog, Cognitive haze, Perplexity, Bewilderment, Muddled thinking, Uncertainty",Have you been feeling confused?,both,True,True,143,symptom
2,546,Constipation,Difficulty passing stool,"hard to poop, infrequent defecation, difficulty passing stool, difficulty pooping, infrequent bowel movement, inability to poop, inability to pass stool, feeling incomplete defecation",Do you have or recently had {constipation}[Constipation is when you're finding it hard to poop for a while]?,both,True,True,14,"etiology, symptom"
2,319,Cough,Cough with mucus or without mucus,"Respiratory reflex action to clear the throat, Expectorating, Hacking reflex, tussis","Do you have {cough}[Cough can be dry or with phlegm. Phlegm is that thick, sticky stuff that hangs around in the back of your throat when you're sick]?",both,True,True,749,symptom
1,1091,Cracking sound at joints,Popping sound at joints,"popping sound in joints, joint with sound, shoulder cracking, popping sound at shoulder, cracking sound at hip, cracking sound at knee, cracking sound at ankle, cracking sound at toes, cracking sound at thumb, cracking sound at elbow, cracking sound at wrist, cracking sound at finger","Do you hear popping or cracking sounds coming from any {joint}[the areas where two or more bones meet - shoulder(s), elbow(s), knee(s), wrist(s), hip(s), finger(s), etc.]?",both,True,True,257,symptom
1,715,Crusty skin,Hard skin,"Rough skin, Flaky skin, hard skin lesion, Dry skin with crusts, Skin with crusty patches, scaly patches, hard flaky skin ",Do you have {crusty}[Crust is a hard outer layer] lesions anywhere on your skin?,both,True,True,-1,symptom
2,644,Cyanosis,Bluish discoloration of the skin,"
blue hands, blue body, purple skin, purple hands, purple fingertips, blue fingernails, purple lips, blue lips, greyish blue discoloration of skin","Have you noticed any part of your hands, feet or lips turning greyish-blue or purple?",both,True,True,552,symptom
2,564,Dark urine,,"brown urine, dark pee, dark piss, Tea-colored urine, Deeply colored urine",Is your urine darker than usual?,both,True,True,598,symptom
2,162,Darkening of skin in lower leg or foot,,"hyperpigmentation in lower extremities, Dark patches on the leg and foot, dark discolored skin in the lower extremity, Melanin accumulation in the leg or foot, increased pigmentation in the lower leg and foot, Dark spots on the leg or foot, Darkened skin on the calf and ankle",Does the skin of your lower leg or foot look unusually {darker}[Dark can be anywhere from slightly dark to dark/reddish-brown]?,both,True,True,855,symptom
2,306,"Darkening of skin on the hands, arms, neck and face",,"hyperpigmentation in upper extremities, hyperpigmentation of hands, hyperpigmentation of arms, hyperpigmentation of face, hyperpigmentation of neck, dark skin on hands, dark skin on arms, dark skin on neck, dark skin on face, melasma","Does the skin of your hands, arms, neck or face unusually look {darker}[Darker is anywhere from slightly darker to dark/reddish-brown] from the rest of your body?",both,True,True,769,symptom
2,312,Decreased fetal movements,Decreased baby movements,"Decreased baby movements in womb, no baby movement, no fetus movement, reduced baby kicks, Reduced baby movements, Decreased fetal kicks, Less active baby in womb, Diminished fetal activity, Decreased baby's wiggles in uterus, Reduced fetal flutters, Fewer baby movements, Lower fetal mobility, Diminished fetal motion",Do you feel a decrease in the baby's movements in your womb?,female,True,True,765,symptom
2,450,Decreased libido,Decreased sexual desire,"decreased sexual interest, decreased sexual desire, less sex drive, reduced sex drive, Low sex drive, Diminished sexual desire, Decreased sexual motivation, Reduced sexual urge, Lack of sexual arousal, Impaired sexual desire",Do you have a decreased desire to have sex?,both,True,True,666,symptom
1,842,Dehydration,,"loss of too much fluid, not enough water, body does not have enough fluids, decreased total body water, low body water, insufficient intake of fluids, exsiccosis","Have you been feeling {dehydrated}[Dehydration is a condition that occurs when there is not enough water in your body. Symptoms of dehydration may include thirst, dry mouth and skin, and reduced and darkened urination]?",both,True,True,450,"etiology, symptom"
2,358,Delay in walking,,"late walking, walking is taking longer than usual, 18 months baby and no walking, Slowed walking development, Walking developmental delay","Has it taken longer than {usual}[Usually, babies start walking around the ages of 11 and 18 months] for your child to learn to walk?",both,True,True,732,symptom
1,1031,Delayed dentition,Delayed teething,"Delayed tooth eruption, Delayed teething, first tooth took too long to erupt, Delayed dental eruption, Late tooth eruption","Have your child's teeth been taking longer than {usual}[Usually, the first tooth erupts between the age of 12-24 months] to come out?",both,True,True,108,symptom
1,893,Dental anomalies,Teeth anomaly,"abnormally shaped teeth, Teeth anomaly, Deformed teeth, abnormal angulation of teeth, abnormal bend in teeth, abnormal development of teeth, abnormally missing teeth","Do you have {abnormally shaped teeth}[Abnormally shaped teeth are deformed or missing teeth, not due to an accident or tooth extraction]?",both,True,True,408,symptom
2,350,Depigmented hair,Patches of grey or white hair,"hypopigmented hair, decrease in hair color, abnormally light hair color, absence of hair color, hair color gets lighter, white hair, loss of hair color, loss of hair pigmentation, decrease in hair pigmentation, premature graying of hair, leukotrichia, reduction of hair color, reduction of hair pigment, no hair color, Patches no color hair",Have you noticed an unusual change in hair color anywhere in your body?,both,True,True,738,symptom
2,317,Depression,,"unhappiness, sorrow, not feeling happy, constant feeling of sadness, loss of interest, constantly feeling guilty, sad mood, dysthymia, demotivated, unhopeful",Do you feel depressed?,both,True,True,104,"etiology, symptom"
1,629,Diaphoresis,Excessive sweating,"Excessive sweating, hyperhidrosis, unexpected sweating, sweating too much, abnormal sweating, Profuse sweating
Heavy sweating, uncontrolled sweating, excess Perspiration, increased Perspiration, sweating without feeling hot",Have you been randomly sweating a lot without really feeling hot or exercising?,both,True,True,561,"etiology, symptom"
2,495,Diarrhea,,"watery stool, watery poop, watery feces, the runs, liquid stool, liquid bowel movements, liquid poop, loose stool, liquid feces, loose motion",Have you been having {diarrhea}[Diarrhea is a condition in which you poop more often and in a liquid or soft form]?,both,True,True,641,"etiology, symptom"
2,794,Difficulty hearing,,"deafness, hearing loss, decreased hearing, inability to hear, inability to listen, hearing impairment, affection of the ear, Reduced hearing ability, Auditory impairment",Are you struggling to hear in any of your ears?,both,True,True,467,symptom
2,195,Difficulty waking up,,"inability to wake up easily, multiple alarms with no wake up, Difficulty rousing from sleep, Trouble shaking off sleep",Is it so hard for you to wake up that you have to set up more than one alarm?,both,True,True,836,symptom
2,332,Diffuse skin hyperpigmentation,Skin hyperpigmentation,"Generalized skin darkening, Overall increased pigmentation, Widespread skin discoloration, Uniform hyperpigmentation, Extensive skin coloration, Generalized melanin overproduction, Overall skin hyperpigmentation,  abnormally dark body skin, overall muddy skin appearance, abnormally tanned body, whole body hyperpigmentation, whole body darkening",Has your skin color gotten darker all over your body?,both,True,True,752,symptom
1,1013,Digital ulcers,"Finger ulcer, toe ulcer","finger ulcer, toe ulcer, open sore at toe, open sore in finger, necrotic lesions at toe, necrotic lesions at finger",Do you have any {ulcers}[Ulcers look like a red crater in the skin] on your fingers or toes?,both,True,True,275,symptom
2,62,Diplopia,Double vision,"seeing two images of the same thing, double image, Double vision, Two-fold vision, Dual vision, Vision duplication, Seeing double, Two-way vision, Split vision
",Do you have {double vision}[Double vision is seeing two images of the same thing at the same time]?,both,True,True,918,symptom
2,303,Dizziness,,"lightheadedness, wooziness, giddiness, feeling light-headed, feeling unbalanced, a sense of disorientation in space, Unsteadiness, Spinning sensation, Loss of balance, Disorientation","Have you been experiencing any {dizziness or lightheadedness}[Dizziness or lightheadedness refers to feeling faint, weak, or unsteady on your feet]?",both,True,True,136,symptom
2,58,Drainage through wound in lower extremity,Fluid from wound in legs or feet,"Fluid from a wound in legs, water from wound in legs, liquid from wound in legs, wound excrete fluid in feet, pus from a wound in lower limb, pus from a wound in legs, pus from a wound in lower extremity, release of fluid from a cut in leg",Have you recently or previously had {pus}[Pus is a thick fluid that your body produces when it is fighting off an infection] being released from a wound on your legs or feet?,both,True,True,922,symptom
2,146,Drainage through wound in upper extremity,Fluid from a wound in arms or hands,"Fluid from a wound in arms, water from wound in arms, liquid from wound in arms, wound excrete fluid in hands, pus from a wound in upper limb, pus from a wound in arms, pus from a wound in upper extremity, release of fluid from a cut in arm",Have you recently or previously had {pus}[Pus is a thick fluid that your body produces when it is fighting off an infection] being released from a wound on your arms or hands?,both,True,True,185,symptom
2,114,Drooling,Excessive saliva flowing,"excessive saliva flowing, unintentional saliva flowing out of mouth, unintentionally spit, saliva uncontrollably coming out of mouth, Saliva overflow, Saliva running from the mouth",Do you experience excessive saliva flowing more often?,both,True,True,884,symptom
1,662,Dry skin at genital,Dry skin at the private area,"Dry skin at the private area, vaginal dryness, dry skin at the penis, Dryness at the pubic area, Dryness in the intimate area, Dryness in the private region",Do you have dry skin at your {genital area}[Genital area indicates the penis and the area around]?||Do you have dry skin at your {genital area}[Genital area indicates the vagina and the area around]?,both,True,True,540,symptom
2,865,Dry skin at lower extremity,Dry skin on legs or feet,"dry skin at legs, dry skin at feet, dry skin at ankles, dry skin at knees, Dry skin at lower limbs","Do you have dry skin on your legs, knees, feet, or ankles?",both,True,True,239,symptom
2,285,Dry skin at neck,,"lack of moist at the neck, rough skin at neck, dehydrated skin at neck",Do you have dry skin on your neck?,both,True,True,785,symptom
1,680,Dry skin at scalp,,"dry skin on the head, dry skin under head hair, Scaly scalp",Is there dry skin coming from your {scalp}[Scalp is the area on the head from which head hair grows]?,both,True,True,533,symptom
2,354,Dry skin at upper extremity,Dry skin on arms or hands,"dry skin at arms, dry skin at elbow, dry skin at forearm, dry skin at hands, dry skin at wrist, rough skin at arms, dry skin at upper limbs","Do you have dry skin on your arms, elbows, forearms, or hands?",both,True,True,734,symptom
1,925,Dysarthria,Slurred speech,"slurred speech, poor pronunciation of words, mumbling, change in talk rhythm, wrong speech, stuttering, difficulty starting sentences",Do you recently find it harder to pronounce words?,both,True,True,353,symptom
2,588,Dyschezia,Pain during defecation,"painful bowel action, pain when passing stool, pain when passing poop, pain when passing feces, pain while defecation",Do you feel pain in your anus when you poop?,both,True,True,581,symptom
2,84,Dysgeusia,Impaired taste,"difficult to taste, metallic taste, Impaired taste, problems tasting, hard to identify taste, cannot taste, inability to taste, hard to taste, taste loss, cannot identify taste, Altered taste, Distorted taste, Abnormal taste sensation, Taste disorder, Taste disturbance, Unpleasant taste, off taste",Have you noticed recently that it's difficult for you to taste?,both,True,True,902,symptom
2,49,Dysmenorrhea,Painful periods,"severe menstrual cramps, menstrual pain, pelvic pain during period, periods hurt, menstruation hurts, period pain, period painful cramps, monthly cramps",Do you usually have painful periods?,female,True,True,-1,symptom
2,92,Dyspareunia,Pain during sexual intercourse,"pain with sex, Pain during sexual intercourse, pain during sexual activity, genital pain during sexual intercourse, pelvic pain during sex, vaginal pain during intercourse, painful sex, painful intercouse, pain in vagina during sex, pain after sex","Have you been experiencing vaginal or {pelvic}[The pelvis is the lower part of the trunk, between the belly and the thighs] pain during or after sex?",female,True,True,897,symptom
2,398,Dysphagia,Swallowing difficulties,"Difficulty swallowing, deglutition disorder, cannot eat, inability to swallow food, food cannot be swallowed, Swallowing problems, Trouble with swallowing, Impaired swallowing",Do you have difficulty swallowing?,both,True,True,668,symptom
2,72,Dyspnea,Difficulty breathing,"shortness of breath, air hunger, uncomfortable breathing, cannot breath, air need, oxygen need, suffocation feeling, cannot inhale, breathless, cannot breath, hard time breathing",Do you have breathing difficulties or shortness of breath?,both,True,True,911,symptom
2,383,Dysuria,Pain discomfort or burning when urinating,"discomfort when urinating, burning when urinating, hurts when taking a piss, burning piss, painful peeing, Painful urination, Discomfort during urination, stinging with urination, Painful voiding, Irritation during urination, Discomfort when peeing, urination hurts",Does it hurt or burn when you pee?,both,True,True,716,symptom
2,334,Ear pressure,,"fullness in the ear, Ear congestion, Ear heaviness, Ear tightness",Do you feel pressure and fullness in your ear(s)?,both,True,True,750,symptom
2,343,Early satiety,Feeling full quickly,"Feeling full quickly, inability to eat a full meal, early fullness, feel full after small amount of food, feel full after a few bites of food, feeling full sooner than normal, Premature fullness, Rapid satiety, Quick satisfaction after eating, Reduced appetite after minimal intake, Easily satisfied by meals, Limited capacity for food intake",Do you usually feel full quickly when eating?,both,True,True,743,symptom
1,796,Easy bruising,Unexplained skin injury,"unexplained bruising, bruised easily, getting injured easily, unexplained blue-purple skin, keep getting injured, unexplained blue-purple skin",Does your body get {bruised}[Bruise is an injury appearing as an area of discoloured skin on the body] easily?,both,True,True,57,symptom
2,561,Elbow bruising,Skin injury on elbow,"Skin injury on elbow, elbow contusion, blue-purple skin on elbow, dark spot on elbow, black-and-blue mark on elbow","Do you have any {bruise}[Bruise is an injury appearing as an area of discolored (red, blue, yellow, green, or purple) skin on the body] on your elbow?",both,True,True,591,symptom
1,855,Electric shock sensation in upper extremity,Buzzing sensation in upper extremity,"Buzzing sensation in upper extremity, electric shock sensation from shoulder to elbow, electric shock sensation from shoulder to hand, buzzing sensation in arms, vibration sensation in arms, Buzzing sensation in arms, sharp tremor at arms, Electric shock sensation in upper limbs, Electric shock sensation in arms",Do you feel an {electric shock sensation}[Electric shock sensation feels like sharp and quick tremor or vibration] that starts from your shoulder and travels down your arm?,both,True,True,444,symptom
1,816,Enlarged facial features,,"jaw protrusion, jaw enlargement, nose enlargement, lips thickening, face looks bigger, Face enlargement, sticked out jaw","Have you noticed yourself developing {enlarged facial features}[Enlarged facial features can be a jaw that may stick out, or a nose or lips that may be larger than usual]?",both,True,True,37,symptom
2,407,Epistaxis,Nosebleed,"Nosebleed, nasal hemorrhage, blood from nostrils, nasal bleeding, hemorrhage from the nostril, hemorrhage from the nasal cavity, blood loss from the nose",Have you been having nosebleeds?,both,True,True,697,"etiology, symptom"
2,69,Exophthalmos,Bulging eyeballs,"bulging eyes, Bulging eyeballs, protruding eyes, protruding eyeballs, eyes coming outwards, proptosis, bulging of the eyes, orbital bulge, orbital proptosis",Do your eyeballs abnormally bulge outwards?,both,True,True,913,symptom
2,451,Eye pain,,"eye hurt, eye ache, eye discomfort, Ocular pain",Do you feel any pain in your eye(s)?,both,True,True,665,symptom
2,570,Eyelids forming crusts,Eye gunk,"eye gunk, eye boogers, eyelids create crusts, scales at the eyelids, Eyelid debris, Crusty eyelashes, Eyelid scabs","Have your eyelid(s) been forming {crusts}[Crusts are a combination of mucus, oil, skin cells and other debris that accumulates in the corner of your eye]?",both,True,True,593,symptom
