ICD Code,ICD Description,Code in NLP engine (NLP),Avey Description (NLP),Avey code (Doctor’s opinion),Avey code description
R042,Haemoptysis,83,lymphadenopathy,,Cough - With bloody mucus
R252,Cramp and spasm,103,dysmenorrhea,,Muscle cramps
R309,"Painful micturition, unspecified",27,aphonia,,Dysuria
R11,Nausea and vomiting,23,nausea,Multiple concepts,"Nausea, Vomiting"
R630,Anorexia,33,anorexia or loss of appetite,,
R234,Changes in skin texture,80,hyperpigmented skin lesion,Multiple concepts,
R21,Rash and other nonspecific skin eruption,80,hyperpigmented skin lesion,Multiple concepts,"Skin erythema, Pimples or bumps"
R71,Abnormality of red blood cells,36,weak immune system,N/A,
R509,"Fever, unspecified",94,fever,,
R190,"Intra-abdominal and pelvic swelling, mass and lump",102,abdominal mass,,
R049,"Haemorrhage from respiratory passages, unspecified",71,epistaxis,N/A,
R231,Pallor,127,pale conjunctiva,Multiple concepts,"Pale conjunctiva, Pale skin anywhere in the body"
R221,"Localised swelling, mass and lump, neck",106,neck stiffness,,Mass or swelling at the neck
R223,"Localised swelling, mass and lump, upper limb",25,swelling in arms,,Mass at upper extremities
R220,"Localised swelling, mass and lump, head",10,bulging fontanels,N/A,
R870,"Abnormal findings in specimens from female genital organs, abnormal level of enzymes",17,scrotum looks like a bag of worms,N/A,
R091,Pleurisy,20,skin growth,,Chest pain - Occurs or worsens with deep inspiration
R278,Other and unspecified lack of coordination,35,bradykinesia,N/A,
R600,Localised oedema,59,angioedema,N/A,
R635,Abnormal weight gain,101,weight loss,,Recent unexplained weight gain
R13,Dysphagia,56,dysphagia,,
R068,Other and unspecified abnormalities of breathing,131,dyspnea,N/A,
R91,Abnormal findings on diagnostic imaging of lung,30,nasal congestion,N/A,
R35,Polyuria,91,hematuria,,Polyuria
R202,Paraesthesia of skin,66,numbness or tingling in lower extremities,Multiple concepts,
R520,Acute pain,68,eye pain,Multiple concepts,
R002,Palpitations,127,pale conjunctiva,,Palpitation
R262,"Difficulty in walking, not elsewhere classified",72,sudden inability to stand on toes,,Trouble walking
R000,"Tachycardia, unspecified",122,tachycardia,,
R103,Pain localised to other parts of lower abdomen,47,heavy sensation or pressure in the groin,Multiple concepts,"Abdominal pain - Hypogastric or pelvic, Abdominal pain - Right iliac pain, Abdominal pain - Left iliac pain"
R300,Dysuria,91,hematuria,,Dysuria
R224,"Localised swelling, mass and lump, lower limb",85,mass at lower extremities,,
R508,Other specified fever,94,fever,,
R008,Other and unspecified abnormalities of heart beat,122,tachycardia,Multiple concepts,
R071,Chest pain on breathing,131,dyspnea,,Chest pain - Occurs or worsens with deep inspiration
R195,Other faecal abnormalities,37,galactorrhea,N/A,
R53,Malaise and fatigue,54,fatigue,,
R599,"Enlarged lymph nodes, unspecified",83,lymphadenopathy,,
R074,"Chest pain, unspecified",104,heartburn,,Chest pain
R51,Headache,65,headache,,
R12,Heartburn,104,heartburn,,
R294,Clicking hip,52,cracking of fingers during regular movement,N/A,
R030,"Elevated blood-pressure reading, without diagnosis of hypertension",104,heartburn,,Hypertensive
R31,Unspecified haematuria,59,angioedema,,Hematuria
R891,"Abnormal findings in specimens from other organs, abnormal level of hormones",37,galactorrhea,N/A,
R798,Other specified abnormal findings of blood chemistry,91,hematuria,N/A,
R633,Feeding difficulties and mismanagement,56,dysphagia,N/A,
R73,Elevated blood glucose level,104,heartburn,,Hyperglycemia
R270,"Ataxia, unspecified",131,dyspnea,,Ataxia
R011,"Cardiac murmur, unspecified",122,tachycardia,N/A,
R42,Dizziness and giddiness,2,lose balance,,Dizziness
R609,"Oedema, unspecified",59,angioedema,Multiple concepts,
R876,"Abnormal findings in specimens from female genital organs, abnormal cytological findings",17,scrotum looks like a bag of worms,N/A,
R060,Dyspnoea,131,dyspnea,,
