Input.LABEL,Input.SIMPLE_NAME,Input.SYMPTOM,Input.MESSAGE,Answer.text_answer,Level,ChatGPT or Manual
abdominal pain,,,Give me 20 sentences to say I have abdominal pain without mentioning the word abdominal pain,There's a pain in my midsection.,2,ChatGPT
abdominal pain,,,Give me 20 sentences to say I have abdominal pain without mentioning the word abdominal pain,My belly is aching.,2,ChatGPT
abdominal tenderness,,,Provide me with 15 sentences to indicate abdominal tenderness,The patient reports discomfort in the abdominal area when touched.,1,ChatGPT
abdominal tenderness,,,Provide me with 15 sentences to indicate abdominal tenderness,The abdomen is tender to the touch.,1,ChatGPT
abdominal tenderness,,,Provide me with 15 sentences to indicate abdominal tenderness,The patient winces in pain when the abdomen is examined.,1,ChatGPT
abdominal tenderness,,,Provide me with 15 sentences to indicate abdominal tenderness,There is tenderness in the lower abdominal region.,1,ChatGPT
abdominal tenderness,,,Provide me with 15 sentences to indicate abdominal tenderness,The patient complains of abdominal pain when the area is touched.,1,ChatGPT
abdominal tenderness,,,Provide me with 15 sentences to indicate abdominal tenderness,The abdomen is sore to the touch.,1,ChatGPT
abdominal tenderness,,,Provide me with 15 sentences to indicate abdominal tenderness,There is tenderness in the upper abdominal region.,1,ChatGPT
abdominal tenderness,,,Provide me with 15 sentences to indicate abdominal tenderness,The patient reports discomfort in the abdominal area when pressure is applied.,1,ChatGPT
abdominal tenderness,,,Provide me with 15 sentences to indicate abdominal tenderness,The abdomen feels tender and sore.,1,ChatGPT
abdominal tenderness,,,Provide me with 15 sentences to indicate abdominal tenderness,There is tenderness in the left lower quadrant of the abdomen.,1,ChatGPT
abdominal tenderness,,,Provide me with 15 sentences to indicate abdominal tenderness,The patient experiences pain in the abdomen when touched lightly.,1,ChatGPT
abdominal tenderness,,,Provide me with 15 sentences to indicate abdominal tenderness,There is tenderness in the right upper quadrant of the abdomen.,1,ChatGPT
abdominal tenderness,,,Provide me with 15 sentences to indicate abdominal tenderness,The abdomen is tender and swollen.,1,ChatGPT
abdominal tenderness,,,Provide me with 15 sentences to indicate abdominal tenderness,The patient reports abdominal pain when the area is pressed upon.,1,ChatGPT
abdominal tenderness,,,Provide me with 15 sentences to indicate abdominal tenderness,There is tenderness in the mid-abdominal region.,1,ChatGPT
abdominal tenderness,,,Give me 15 sentences to indicate you have abdominal tenderness without mentioning abdominal tenderness,My stomach is sore to the touch.,2,ChatGPT
abdominal tenderness,,,Give me 15 sentences to indicate you have abdominal tenderness without mentioning abdominal tenderness,It hurts when I apply pressure to my abdomen.,2,ChatGPT
abdominal tenderness,,,Give me 15 sentences to indicate you have abdominal tenderness without mentioning abdominal tenderness,My abdominal muscles feel achy when I move.,2,ChatGPT
abdominal tenderness,,,Give me 15 sentences to indicate you have abdominal tenderness without mentioning abdominal tenderness,Certain areas of my abdomen are tender to the touch.,2,ChatGPT
abdominal tenderness,,,Give me 15 sentences to indicate you have abdominal tenderness without mentioning abdominal tenderness,I have difficulty taking deep breaths due to stomach soreness.,2,ChatGPT
abdominal tenderness,,,Give me 15 sentences to indicate you have abdominal tenderness without mentioning abdominal tenderness,My abdomen is very sensitive to touch.,2,ChatGPT
abdominal tenderness,,,Give me 15 sentences to indicate you have abdominal tenderness without mentioning abdominal tenderness,I feel a burning sensation in my belly,2,ChatGPT
abdominal tenderness,,,Give me 15 sentences to indicate you have abdominal tenderness without mentioning abdominal tenderness,I feel a pain in my belly when I touch it.,2,ChatGPT
abdominal tenderness,,,Give me 15 sentences to indicate you have abdominal tenderness without mentioning abdominal tenderness,There is a lot of discomfort when I press on my midsection.,2,ChatGPT
abdominal tenderness,,,Give me 15 sentences to indicate you have abdominal tenderness without mentioning abdominal tenderness,My abdominal muscles feel tender when I move.,2,ChatGPT
absence of nocturnal penile tumescence,,,Give me 20 sentences to say I have absence of nocturnal penile tumescence without mentioning the word nocturnal penile tumescence ,I do not experience nighttime erections.,2,ChatGPT
absence of nocturnal penile tumescence,,,Give me 20 sentences to say I have absence of nocturnal penile tumescence without mentioning the word nocturnal penile tumescence ,My penis does not become erect during sleep.,2,ChatGPT
absence of nocturnal penile tumescence,,,Give me 20 sentences to say I have absence of nocturnal penile tumescence without mentioning the word nocturnal penile tumescence ,I wake up in the morning without an erection.,2,ChatGPT
absence of nocturnal penile tumescence,,,Give me 20 sentences to say I have absence of nocturnal penile tumescence without mentioning the word nocturnal penile tumescence ,I don't have spontaneous erections while I sleep.,2,ChatGPT
absence of nocturnal penile tumescence,,,Give me 20 sentences to say I have absence of nocturnal penile tumescence without mentioning the word nocturnal penile tumescence ,My penis remains flaccid during the night.,2,ChatGPT
absence of nocturnal penile tumescence,,,Give me 20 sentences to say I have absence of nocturnal penile tumescence without mentioning the word nocturnal penile tumescence ,I don't experience morning wood.,2,ChatGPT
absence of nocturnal penile tumescence,,,Give me 20 sentences to say I have absence of nocturnal penile tumescence without mentioning the word nocturnal penile tumescence ,My penis doesn't become turgid during sleep.,2,ChatGPT
absence of nocturnal penile tumescence,,,Give me 20 sentences to say I have absence of nocturnal penile tumescence without mentioning the word nocturnal penile tumescence ,I wake up without an engorged penis.,2,ChatGPT
absence of nocturnal penile tumescence,,,Give me 20 sentences to say I have absence of nocturnal penile tumescence without mentioning the word nocturnal penile tumescence ,I don't have involuntary erections at night.,2,ChatGPT
absence of nocturnal penile tumescence,,,Give me 20 sentences to say I have absence of nocturnal penile tumescence without mentioning the word nocturnal penile tumescence ,My penis remains soft throughout the night.,2,ChatGPT
absence of nocturnal penile tumescence,,,Give me 20 sentences to say I have absence of nocturnal penile tumescence without mentioning the word nocturnal penile tumescence ,I don't have a nighttime erection.,2,ChatGPT
absence of nocturnal penile tumescence,,,Give me 20 sentences to say I have absence of nocturnal penile tumescence without mentioning the word nocturnal penile tumescence ,My penis doesn't become rigid during sleep.,2,ChatGPT
absence of nocturnal penile tumescence,,,Give me 20 sentences to say I have absence of nocturnal penile tumescence without mentioning the word nocturnal penile tumescence ,I wake up without a stiff penis.,2,ChatGPT
absence of nocturnal penile tumescence,,,Give me 20 sentences to say I have absence of nocturnal penile tumescence without mentioning the word nocturnal penile tumescence ,I don't experience sleep-related erections.,2,ChatGPT
absence of nocturnal penile tumescence,,,Give me 20 sentences to say I have absence of nocturnal penile tumescence without mentioning the word nocturnal penile tumescence ,My penis remains flaccid throughout the night.,2,ChatGPT
absence of nocturnal penile tumescence,,,Give me 20 sentences to say I have absence of nocturnal penile tumescence without mentioning the word nocturnal penile tumescence ,I don't have a nocturnal penile erection.,2,ChatGPT
absence of nocturnal penile tumescence,,,Give me 20 sentences to say I have absence of nocturnal penile tumescence without mentioning the word nocturnal penile tumescence ,My penis doesn't become engorged while I sleep.,2,ChatGPT
absence of nocturnal penile tumescence,,,Give me 20 sentences to say I have absence of nocturnal penile tumescence without mentioning the word nocturnal penile tumescence ,I wake up in the morning with a soft penis.,2,ChatGPT
absence of nocturnal penile tumescence,,,Give me 20 sentences to say I have absence of nocturnal penile tumescence without mentioning the word nocturnal penile tumescence ,I don't have spontaneous nighttime erections.,2,ChatGPT
absence of nocturnal penile tumescence,,,Give me 20 sentences to say I have absence of nocturnal penile tumescence without mentioning the word nocturnal penile tumescence ,My penis remains limp during sleep.,2,ChatGPT
absence of nocturnal penile tumescence,,,Give me 20 sentences to say I have absence of nocturnal penile tumescence mentioning the word absence of nocturnal penile tumescence,I have been experiencing the absence of nocturnal penile tumescence.,1,ChatGPT
absence of nocturnal penile tumescence,,,Give me 20 sentences to say I have absence of nocturnal penile tumescence mentioning the word absence of nocturnal penile tumescence,I have a persistent issue with the lack of nocturnal penile tumescence.,1,ChatGPT
absence of nocturnal penile tumescence,,,Give me 20 sentences to say I have absence of nocturnal penile tumescence mentioning the word absence of nocturnal penile tumescence,I'm concerned about the absence of nocturnal penile tumescence.,1,ChatGPT
absence of nocturnal penile tumescence,,,Give me 20 sentences to say I have absence of nocturnal penile tumescence mentioning the word absence of nocturnal penile tumescence,I need medical attention for the lack of nocturnal penile tumescence.,1,ChatGPT
absence of nocturnal penile tumescence,,,Give me 20 sentences to say I have absence of nocturnal penile tumescence mentioning the word absence of nocturnal penile tumescence,I have a recurring problem with the absence of nocturnal penile tumescence.,1,ChatGPT
absence of nocturnal penile tumescence,,,Give me 20 sentences to say I have absence of nocturnal penile tumescence mentioning the word absence of nocturnal penile tumescence,I'm struggling with the absence of nocturnal penile tumescence.,1,ChatGPT
absence of nocturnal penile tumescence,,,Give me 20 sentences to say I have absence of nocturnal penile tumescence mentioning the word absence of nocturnal penile tumescence,I have an ongoing issue with the absence of nocturnal penile tumescence.,1,ChatGPT
absence of nocturnal penile tumescence,,,Give me 20 sentences to say I have absence of nocturnal penile tumescence mentioning the word absence of nocturnal penile tumescence,I need to see a doctor about the absence of nocturnal penile tumescence.,1,ChatGPT
absence of nocturnal penile tumescence,,,Give me 20 sentences to say I have absence of nocturnal penile tumescence mentioning the word absence of nocturnal penile tumescence,I'm experiencing the absence of nocturnal penile tumescence which is not normal for me.,1,ChatGPT
absence of nocturnal penile tumescence,,,Give me 20 sentences to say I have absence of nocturnal penile tumescence mentioning the word absence of nocturnal penile tumescence,I need to address the absence of nocturnal penile tumescence to maintain good health.,1,ChatGPT
absence of nocturnal penile tumescence,,,Give me 20 sentences to say I have absence of nocturnal penile tumescence mentioning the word absence of nocturnal penile tumescence,I have a concern about the lack of nocturnal penile tumescence.,1,ChatGPT
absence of nocturnal penile tumescence,,,Give me 20 sentences to say I have absence of nocturnal penile tumescence mentioning the word absence of nocturnal penile tumescence,I need to find a solution for my absence of nocturnal penile tumescence.,1,ChatGPT
absence of nocturnal penile tumescence,,,Give me 20 sentences to say I have absence of nocturnal penile tumescence mentioning the word absence of nocturnal penile tumescence,I have an unexpected issue with the absence of nocturnal penile tumescence.,1,ChatGPT
absence of nocturnal penile tumescence,,,Give me 20 sentences to say I have absence of nocturnal penile tumescence mentioning the word absence of nocturnal penile tumescence,I need to get this checked out as the absence of nocturnal penile tumescence is persistent.,1,ChatGPT
absence of nocturnal penile tumescence,,,Give me 20 sentences to say I have absence of nocturnal penile tumescence mentioning the word absence of nocturnal penile tumescence,I'm worried about my health due to the absence of nocturnal penile tumescence.,1,ChatGPT
absence of nocturnal penile tumescence,,,Give me 20 sentences to say I have absence of nocturnal penile tumescence mentioning the word absence of nocturnal penile tumescence,I have a history of absence of nocturnal penile tumescence and need to take steps to prevent it.,1,ChatGPT
absence of nocturnal penile tumescence,,,Give me 20 sentences to say I have absence of nocturnal penile tumescence mentioning the word absence of nocturnal penile tumescence,I have been dealing with the absence of nocturnal penile tumescence for a while now.,1,ChatGPT
absence of nocturnal penile tumescence,,,Give me 20 sentences to say I have absence of nocturnal penile tumescence mentioning the word absence of nocturnal penile tumescence,I need to take action to address the absence of nocturnal penile tumescence.,1,ChatGPT
absence of nocturnal penile tumescence,,,Give me 20 sentences to say I have absence of nocturnal penile tumescence mentioning the word absence of nocturnal penile tumescence,I have a persistent issue with nocturnal penile tumescence and need medical attention.,1,ChatGPT
absence of nocturnal penile tumescence,,,Give me 20 sentences to say I have absence of nocturnal penile tumescence mentioning the word absence of nocturnal penile tumescence,I'm concerned about my absence of nocturnal penile tumescence and its impact on my health.,1,ChatGPT
alternation between diarrhea and constipation,,,Give me 20 sentences to indicate I have alternation between diarrhea and constipation,My bowel movements are inconsistent.,2,ChatGPT
alternation between diarrhea and constipation,,,Give me 20 sentences to indicate I have alternation between diarrhea and constipation,I alternate between having loose stools and being constipated.,2,ChatGPT
alternation between diarrhea and constipation,,,Give me 20 sentences to indicate I have alternation between diarrhea and constipation,I have a pattern of going back and forth between diarrhea and constipation.,2,ChatGPT
alternation between diarrhea and constipation,,,Give me 20 sentences to indicate I have alternation between diarrhea and constipation,I go through periods of diarrhea and constipation.,2,ChatGPT
alternation between diarrhea and constipation,,,Give me 20 sentences to indicate I have alternation between diarrhea and constipation,My bowel habits are inconsistent.,2,ChatGPT
alternation between diarrhea and constipation,,,Give me 20 sentences to indicate I have alternation between diarrhea and constipation,I experience fluctuations between having loose stools and being constipated.,2,ChatGPT
alternation between diarrhea and constipation,,,Give me 20 sentences to indicate I have alternation between diarrhea and constipation,I go back and forth between having diarrhea and constipation.,2,ChatGPT
alternation between diarrhea and constipation,,,Give me 20 sentences to indicate I have alternation between diarrhea and constipation,My digestive system is unpredictable and fluctuates.,2,ChatGPT
alternation between diarrhea and constipation,,,Give me 20 sentences to indicate I have alternation between diarrhea and constipation,My bowel movements are not consistent.,2,ChatGPT
alternation between diarrhea and constipation,,,Give me 20 sentences to indicate I have alternation between diarrhea and constipation,I experience fluctuations between loose stools and being constipated.,2,ChatGPT
alternation between diarrhea and constipation,,,Give me 20 sentences to say I have alternation between diarrhea and constipation mentioning the word alternation between diarrhea and constipation,I have been experiencing alternation between diarrhea and constipation.,1,ChatGPT
alternation between diarrhea and constipation,,,Give me 20 sentences to say I have alternation between diarrhea and constipation mentioning the word alternation between diarrhea and constipation,I have a persistent issue with the alternation of diarrhea and constipation.,1,ChatGPT
alternation between diarrhea and constipation,,,Give me 20 sentences to say I have alternation between diarrhea and constipation mentioning the word alternation between diarrhea and constipation,I'm concerned about my alternation between diarrhea and constipation.,1,ChatGPT
alternation between diarrhea and constipation,,,Give me 20 sentences to say I have alternation between diarrhea and constipation mentioning the word alternation between diarrhea and constipation,I need medical attention for the alternation between diarrhea and constipation.,1,ChatGPT
alternation between diarrhea and constipation,,,Give me 20 sentences to say I have alternation between diarrhea and constipation mentioning the word alternation between diarrhea and constipation,I have a recurring problem with alternation between diarrhea and constipation.,1,ChatGPT
alternation between diarrhea and constipation,,,Give me 20 sentences to say I have alternation between diarrhea and constipation mentioning the word alternation between diarrhea and constipation,I'm struggling with the alternation between diarrhea and constipation.,1,ChatGPT
alternation between diarrhea and constipation,,,Give me 20 sentences to say I have alternation between diarrhea and constipation mentioning the word alternation between diarrhea and constipation,I have an ongoing issue with alternation between diarrhea and constipation.,1,ChatGPT
alternation between diarrhea and constipation,,,Give me 20 sentences to say I have alternation between diarrhea and constipation mentioning the word alternation between diarrhea and constipation,I need to see a doctor about the alternation between diarrhea and constipation.,1,ChatGPT
alternation between diarrhea and constipation,,,Give me 20 sentences to say I have alternation between diarrhea and constipation mentioning the word alternation between diarrhea and constipation,I'm experiencing alternation between diarrhea and constipation which is not normal for me.,1,ChatGPT
alternation between diarrhea and constipation,,,Give me 20 sentences to say I have alternation between diarrhea and constipation mentioning the word alternation between diarrhea and constipation,I need to address the alternation between diarrhea and constipation to maintain good health.,1,ChatGPT
alternation between diarrhea and constipation,,,Give me 20 sentences to say I have alternation between diarrhea and constipation mentioning the word alternation between diarrhea and constipation,I have a concern about my alternation between diarrhea and constipation.,1,ChatGPT
alternation between diarrhea and constipation,,,Give me 20 sentences to say I have alternation between diarrhea and constipation mentioning the word alternation between diarrhea and constipation,I need to find a solution for my alternation between diarrhea and constipation.,1,ChatGPT
alternation between diarrhea and constipation,,,Give me 20 sentences to say I have alternation between diarrhea and constipation mentioning the word alternation between diarrhea and constipation,I have an unexpected issue with alternation between diarrhea and constipation.,1,ChatGPT
alternation between diarrhea and constipation,,,Give me 20 sentences to say I have alternation between diarrhea and constipation mentioning the word alternation between diarrhea and constipation,I need to get this checked out as the alternation between diarrhea and constipation is persistent.,1,ChatGPT
alternation between diarrhea and constipation,,,Give me 20 sentences to say I have alternation between diarrhea and constipation mentioning the word alternation between diarrhea and constipation,I'm worried about my health due to the alternation between diarrhea and constipation.,1,ChatGPT
alternation between diarrhea and constipation,,,Give me 20 sentences to say I have alternation between diarrhea and constipation mentioning the word alternation between diarrhea and constipation,I have a history of alternation between diarrhea and constipation and need to take steps to prevent it.,1,ChatGPT
alternation between diarrhea and constipation,,,Give me 20 sentences to say I have alternation between diarrhea and constipation mentioning the word alternation between diarrhea and constipation,I have been dealing with alternation between diarrhea and constipation for a while now.,1,ChatGPT
alternation between diarrhea and constipation,,,Give me 20 sentences to say I have alternation between diarrhea and constipation mentioning the word alternation between diarrhea and constipation,I need to take action to address the alternation between diarrhea and constipation.,1,ChatGPT
alternation between diarrhea and constipation,,,Give me 20 sentences to say I have alternation between diarrhea and constipation mentioning the word alternation between diarrhea and constipation,I have a persistent issue with alternation between diarrhea and constipation and need medical attention.,1,ChatGPT
alternation between diarrhea and constipation,,,Give me 20 sentences to say I have alternation between diarrhea and constipation mentioning the word alternation between diarrhea and constipation,I'm concerned about my alternation between diarrhea and constipation and its impact on my health.,1,ChatGPT
amenorrhea,,,Give me 20 sentences to say I have amenorrhea mentioning the word amenorrhea,"I have been diagnosed with amenorrhea, a condition where my menstrual periods have stopped.",1,ChatGPT
amenorrhea,,,Give me 20 sentences to say I have amenorrhea mentioning the word amenorrhea,"The cause of my amenorrhea is still unknown, but I am currently undergoing tests to find out.",1,ChatGPT
amenorrhea,,,Give me 20 sentences to say I have amenorrhea mentioning the word amenorrhea,"My doctor has confirmed that I have primary amenorrhea, meaning I have never had a menstrual period.",1,ChatGPT
amenorrhea,,,Give me 20 sentences to say I have amenorrhea mentioning the word amenorrhea,"Secondary amenorrhea is what I am suffering from, which is the absence of menstrual periods for three or more months.",1,ChatGPT
amenorrhea,,,Give me 20 sentences to say I have amenorrhea mentioning the word amenorrhea,"The lack of menstrual cycles is due to my amenorrhea, which can be caused by several factors.",1,ChatGPT
amenorrhea,,,Give me 20 sentences to say I have amenorrhea mentioning the word amenorrhea,"I was shocked to learn that I have amenorrhea, as it is a condition that affects a woman's reproductive health.",1,ChatGPT
amenorrhea,,,Give me 20 sentences to say I have amenorrhea mentioning the word amenorrhea,"Amenorrhea can have a significant impact on a woman's life, and I am no exception.",1,ChatGPT
amenorrhea,,,Give me 20 sentences to say I have amenorrhea mentioning the word amenorrhea,I am taking steps to manage my amenorrhea and prevent any long-term effects on my health.,1,ChatGPT
amenorrhea,,,Give me 20 sentences to say I have amenorrhea mentioning the word amenorrhea,The onset of amenorrhea in my case was sudden and I was not expecting it.,1,ChatGPT
amenorrhea,,,Give me 20 sentences to say I have amenorrhea mentioning the word amenorrhea,I am trying to understand the underlying causes of my amenorrhea and how I can treat it.,1,ChatGPT
amenorrhea,,,Give me 20 sentences to say I have amenorrhea mentioning the word amenorrhea,"The diagnosis of amenorrhea can be concerning, but I am determined to find a solution.",1,ChatGPT
amenorrhea,,,Give me 20 sentences to say I have amenorrhea mentioning the word amenorrhea,I am working with my doctor to find the best course of action for my amenorrhea.,1,ChatGPT
amenorrhea,,,Give me 20 sentences to say I have amenorrhea mentioning the word amenorrhea,My amenorrhea is affecting my hormonal balance and causing me discomfort.,1,ChatGPT
