Index,Input.LABEL,Input.SIMPLE_NAME,Input.SYMPTOM,Input.MESSAGE,Answer.text_answer,Level
31,abdominal bloating,Belly Feels Full And Tight,gassy,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,"Hello, Dr. (name). I'm visiting today because lately I've been very gassy, my stomach has been feeling very painful and tight because of it.",2
32,abdominal bloating,Belly Feels Full And Tight,gassy,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,"All of the time, my belly feels full and tight.",2
33,abdominal bloating,Belly Feels Full And Tight,gassy,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,"I can consume anything; water, bread, soup, salad and I will still feel gassy and tight in the belly.",2
34,abdominal bloating,Belly Feels Full And Tight,gassy,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,I have been so gassy lately. I feel like the airplane or maybe just sitting down for so long did a number on me.,2
35,abdominal bloating,Belly Feels Full And Tight,blown belly,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,My belly is full - it's like a blown belly. Like someone blew up a balloon and that is my belly.,2
36,abdominal bloating,Belly Feels Full And Tight,blown belly,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,"My stomach has been feeling full and tight, even when I don't eat. It is very uncomfortable.",2
37,abdominal bloating,Belly Feels Full And Tight,blown belly,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,"My belly feels full, bloated, and very tight!",2
38,abdominal bloating,Belly Feels Full And Tight,blown belly,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,"I am experiencing a high degree of discomfort in my belly area. I generally eat nutritious meals, but recently it feels like I might have a blown belly. My stomach is tight and uncomfortable. I cannot eat normally as it causes a great deal of discomfort in doing so as I am generally not very hungry anymore.",2
39,abdominal bloating,Belly Feels Full And Tight,blown belly,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,I'm experiencing stomach problems were it feels like I'm very stuffed and bloated. It feels uncomfortably tight.,2
40,abdominal bloating,Belly Feels Full And Tight,full belly,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,My belly feels full when I haven't even eaten.,2
41,abdominal bloating,Belly Feels Full And Tight,full belly,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,I feel like I have a full belly even when I do not eat a lot. This comes on after I only have a few bites and destroys my appetite.,2
42,abdominal bloating,Belly Feels Full And Tight,full belly,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,My belly feels really full and tight.,2
43,abdominal bloating,Belly Feels Full And Tight,full belly,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,Sometimes I feel like I have a full belly after eating for 4 hours.,2
44,abdominal bloating,Belly Feels Full And Tight,full belly,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,I barely eat anything and my belly is always full.,2
45,abdominal bloating,Belly Feels Full And Tight,belly fullness,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,My belly is really full and I haven't just eaten. It feels this way a lot of the time.,2
46,abdominal bloating,Belly Feels Full And Tight,belly fullness,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,My stomach feels tight like its full but I haven't eaten.,2
47,abdominal bloating,Belly Feels Full And Tight,belly fullness,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,My stomach and belly feels so tight and full.,2
48,abdominal bloating,Belly Feels Full And Tight,belly fullness,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,The past few days my belly has been feeling tight and full and it's extremely uncomfortable.,2
49,abdominal bloating,Belly Feels Full And Tight,belly fullness,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,"Even after I have a bowel movement, my belly just feels so tight. You would think that after I remove the waste from me, I would get some type of relief, but that hasn't been the case.",2
50,abdominal bloating,Belly Feels Full And Tight,feeling bloated,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,"I have been feeling bloated, even when I haven't recently eaten.",2
51,abdominal bloating,Belly Feels Full And Tight,feeling bloated,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,My stomach has been feeling bloated and really tight all week.,2
52,abdominal bloating,Belly Feels Full And Tight,feeling bloated,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,"Whenever I finish eating a big meal, I feel so bloated that my clothes barely fit.",2
53,abdominal bloating,Belly Feels Full And Tight,feeling bloated,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,Today doctor I had a salad which i think is giving my that bloated feeling.,2
54,abdominal bloating,Belly Feels Full And Tight,feeling bloated,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,Sometimes I'm just resting on the couch and I get feeling bloated.,2
55,abdominal bloating,Belly Feels Full And Tight,blown abdomen,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,My abdomen feels blown up like a balloon.,2
56,abdominal bloating,Belly Feels Full And Tight,blown abdomen,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,"My belly and stomach feels so full all the time, and tight.",2
57,abdominal bloating,Belly Feels Full And Tight,blown abdomen,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,I have a blown abdomen and hope it is just from all the shrimp I ate last night.,2
58,abdominal bloating,Belly Feels Full And Tight,blown abdomen,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,"When I eat certain foods, I am having trouble with my belly being bloated to the point of bieng full and tight.  This is very uncomfortable and I cannot sit or lay for extended periods of time due to the distension in my abdomen.  I am concerned if I might have a tumor or other growth causing this.",2
59,abdominal bloating,Belly Feels Full And Tight,blown abdomen,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,"I feel like I have an extreme case of bloating, especially in my abdomen.",2
60,abdominal bloating,Belly Feels Full And Tight,abdominal distension,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,"My belly feels really full and tight, even when I haven't recently eaten.",2
61,abdominal bloating,Belly Feels Full And Tight,abdominal distension,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,Whenever I finish eating my stomach feels very full and tight. It is very uncomfortable.,2
62,abdominal bloating,Belly Feels Full And Tight,abdominal distension,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,My belly is very uncomfortable and distended.,2
63,abdominal bloating,Belly Feels Full And Tight,abdominal distension,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,My stomach feels full and tight.,2
64,abdominal bloating,Belly Feels Full And Tight,abdominal distension,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,"Hey, Dr. (name). I'm in today because lately I've been having some abdomen distension and I'd like to know why and get treatment.",2
65,abdominal bloating,Belly Feels Full And Tight,inflated belly,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,I am having an inflated belly. Feels like there's a balloon in there.,2
66,abdominal bloating,Belly Feels Full And Tight,inflated belly,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,"When I eat certain foods, I get an inflated belly and I am starting to get very concern.",2
67,abdominal bloating,Belly Feels Full And Tight,inflated belly,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,My belly feels inflated.,2
68,abdominal bloating,Belly Feels Full And Tight,inflated belly,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,"My stomach has been inflated, it feels swollen like I'm bloated.",2
69,abdominal bloating,Belly Feels Full And Tight,inflated belly,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,My stomach feels full and feels like it is cramping.,2
70,abdominal bloating,Belly Feels Full And Tight,feeling of fullness in the abdomen,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,I feel like I ate thanksgiving dinner! My belly is swollen and so bloated. Like it full of air or water or a giant dinner.,2
71,abdominal mass,nan,abdominal mass,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,I noticed a lump on my stomach.,1
72,abdominal mass,nan,abdominal mass,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,I feel a mass in my abdomen.,1
73,abdominal mass,nan,abdominal mass,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,"There is something on my belly, shaped like a ball, it wasn't there before, I had it for about a week.",1
74,abdominal mass,nan,abdominal mass,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,I have a mass in my abdominal area for the past week.,1
76,abdominal mass,nan,abdominal mass,Please DO NOT include the symptom itself in your answer. Try to think of another way to describe the feeling.,"I feel a lump in my stomach, in my abdomen, like a hard rock. It is uncomfortable but also painful to the touch.",3
77,abdominal mass,nan,abdominal mass,Please DO NOT include the symptom itself in your answer. Try to think of another way to describe the feeling.,I have a lump in my stomach area.,3
78,abdominal mass,nan,abdominal mass,Please DO NOT include the symptom itself in your answer. Try to think of another way to describe the feeling.,I have this big ball in my stomach or abdomen.,3
79,abdominal mass,nan,abdominal mass,Please DO NOT include the symptom itself in your answer. Try to think of another way to describe the feeling.,I feel there is something at my abdominal area. Like a lump or mass.,3
80,abdominal mass,nan,abdominal mass,Please DO NOT include the symptom itself in your answer. Try to think of another way to describe the feeling.,"After working out the other day, I feel like I am developing an abdominal mass",3
81,abdominal mass,nan,lump in belly,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,There is a hard lump in my belly.,2
82,abdominal mass,nan,lump in belly,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,"I have this strange lump in my stomach, lump around my belly button area.",2
83,abdominal mass,nan,lump in belly,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,I was in the shower and I noticed this lump in my belly. Is this anything I should worry about?,2
84,abdominal mass,nan,lump in belly,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,"I feel a knot in my lower stomach, especially when I'm laying on my back.",2
85,abdominal mass,nan,lump in belly,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,This morning as I was lying in bed I noticed a lump in my belly.  I’m a bit concerned about this.,2
86,abdominal mass,nan,bulge in the belly,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,We just moved last week and I was lifting some pretty heavy objects. Now I have this rather painfuil bulge in my stomach area.,2
88,abdominal mass,nan,bulge in the belly,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,"I have this great big buldge in my stomach, and belly.",2
89,abdominal mass,nan,bulge in the belly,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,My stomach feels like it has a knot or ball in it. I can feel it with my hand.,2
90,abdominal mass,nan,bulge in the belly,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,I woke up this morning and saw a bulge in my belly,2
91,abdominal mass,nan,mass in tummy,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,I've been working to lose weight and been do all kinds of ab exercises but my tummy feels like it has a mass in it.,2
92,abdominal mass,nan,mass in tummy,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,There is this hard lump in my tummy.,2
93,abdominal mass,nan,mass in tummy,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,There is a lump in my stomach.,2
94,abdominal mass,nan,mass in tummy,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,When I woke up this morning I noticed this mass in my tummy,2
96,abdominal mass,nan,mass in abdomen,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,I have a lump in my stomach area.,2
97,abdominal mass,nan,mass in abdomen,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,I have a bulge near my groin,2
99,abdominal mass,nan,mass in abdomen,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,"At night, when I roll over in bed, there is a pain that I feel in my abdomen, and when I feel that spot there's something there, like a mass.",2
100,abdominal mass,nan,mass in abdomen,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,"The other day, I was playing with my niece and she was crawling around on my chest. At one point, she touched a part of my stomach and lifted her hand away. I felt in that same spot right after her and I felt this mass.",2
101,abdominal mass,nan,bulge in the abdomen,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,There is a bulge in my abdomen.,2
102,abdominal mass,nan,bulge in the abdomen,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,There's a bulge in my abdomen/tummy area.,2
103,abdominal mass,nan,bulge in the abdomen,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,I have a lump on my stomach.,2
104,abdominal mass,nan,bulge in the abdomen,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,I have a bulge in my abdomen.,2
106,abdominal mass,nan,mass in belly,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,There seem to be a mass on my belly.,2
107,abdominal mass,nan,mass in belly,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,I have this unusual ball bulging out of my stomach,2
108,abdominal mass,nan,mass in belly,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,My stomach hurts and it's sticking out farther than it usually does.,2
109,abdominal mass,nan,mass in belly,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,I just got back from a party and I’m feeling a lump in my stomach.,2
110,abdominal mass,nan,mass in belly,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,I first noticed this mass in my belly last week. I have had a decrease in appetite lately but I don't have any pain.,2
111,abdominal mass,nan,swelling in belly,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,My belly feels real swollen especially after I eat at night.,2
112,abdominal mass,nan,swelling in belly,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,I am having swelling in my belly.,2
113,abdominal mass,nan,swelling in belly,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,My stomach is swollen.,2
114,abdominal mass,nan,swelling in belly,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,My belly is all bloated and swollen.,2
116,abdominal mass,nan,lump in the abdomen,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,"There is something on my belly, like a hard ball.",2
117,abdominal mass,nan,lump in the abdomen,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,I was feeling my stomach and noticed a lump that is not normally there. This lump is small and hard.,2
118,abdominal mass,nan,lump in the abdomen,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,I have lump in the abdomen. I feel severe pain sometimes.,2
119,abdominal mass,nan,lump in the abdomen,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,I feel a ball in my stomach and it's even visible to other people.,2
120,abdominal mass,nan,lump in the abdomen,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,after a party I’m feeling a lump in my abdomen,2
121,abdominal mass,nan,swelling in abdomen,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,I have noticed a swelling in my abdomen.,2
122,abdominal mass,nan,swelling in abdomen,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,My abdomen is very swollen and uncomfortable.,2
124,abdominal mass,nan,swelling in abdomen,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,I have recently noticed a swelling in my abdomen. I haven't changed my diet or eaten more than usual and it has actually become uncomfortable to eat.,2
125,abdominal mass,nan,swelling in abdomen,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,When I woke up this morning I found that there is swelling in my abdomen,2
126,abdominal mass,nan,lump in tummy,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,There is a lump on the side of my stomach.,2
127,abdominal mass,nan,lump in tummy,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,I have this lump in my tummy near my belly button.,2
128,abdominal mass,nan,lump in tummy,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,I have a lump in tummy. I feel pain in that part.,2
129,abdominal mass,nan,lump in tummy,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,I was having some pain in my side so I felt around and noticed a lump in my tummy.,2
130,abdominal mass,nan,lump in tummy,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,During my self exams of my body i have notice lumps in my stomach area,2
132,abdominal mass,nan,bulge in the belly,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,I noticed when I was doing situps that I have a bulge in my belly near my belly button.,2
133,abdominal mass,nan,mass in tummy,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,"I have had stomach pains, and digestion issues lately. I feel like I get full really easily and my stomach feels hard.",2
134,abdominal mass,nan,mass in abdomen,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,I've been feeling very uncomfortable when I lay flat on my back. My stomach hurts a lot. It's almost as if there's something inside my stomach creating pressure.,2
135,abdominal mass,nan,bulge in the abdomen,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,I have noticed a strange bulge in my abdomen area and it is very sore.,2
136,abdominal mass,nan,swelling in belly,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,Iâ€™ve noticed that I have a swelling in my belly.,2
137,abdominal mass,nan,swelling in abdomen,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,"My whole belly is sticking out, like I swallowed a basket ball. It is not usually big like that.",2
138,abdominal mass,nan,abdominal mass,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,I've had a central abdominal mass for years but lately it is getting worse especially when i have a bowel movement or am doing crunches. it doesn't hurt.,1
139,abdominal tenderness,Sore Abdomen,abdominal tenderness,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,The part of my body under my stomach is tender to the touch and I feel so sore without a reason for it,1
140,abdominal tenderness,Sore Abdomen,abdominal tenderness,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,My Stomach feels sore and tender. It’s like someone bashed me hard in the stomach.,1
141,abdominal tenderness,Sore Abdomen,abdominal tenderness,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,I have feel abdominal tenderness.,1
143,abdominal tenderness,Sore Abdomen,abdominal tenderness,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,I been feeling extremely nauseous lately and having a hard time eating as it causes me pain.  As I went to grab my stomach in pain I noticed there was some abdominal tenderness.,1
144,abdominal tenderness,Sore Abdomen,abdominal tenderness,Please DO NOT include the symptom itself in your answer. Try to think of another way to describe the feeling.,"I am feeling sore in my stomach area, not from any muscle pain. It feels deeper.",3
145,abdominal tenderness,Sore Abdomen,abdominal tenderness,Please DO NOT include the symptom itself in your answer. Try to think of another way to describe the feeling.,"My stomach has been hurting a lot recently and my abdomen is sore and tender to the touch, even when I touch it lightly.",3
146,abdominal tenderness,Sore Abdomen,abdominal tenderness,Please DO NOT include the symptom itself in your answer. Try to think of another way to describe the feeling.,My stomach is very sore. I didn't do any workout. It just feel so sore today.,3
148,abdominal tenderness,Sore Abdomen,abdominal tenderness,Please DO NOT include the symptom itself in your answer. Try to think of another way to describe the feeling.,My abdomen is sore and tender.,3
149,abdominal tenderness,Sore Abdomen,abdominal is sore to touch,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,"Today I woke up with pain in my lower abdomen in the right side. As I tried to go to the bathroom it started hurting a lot more, it was a pai that did not stop, and I could not even get up, I walked holding my belly and like the humpback.",2
150,abdominal tenderness,Sore Abdomen,abdominal is sore to touch,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,My abdomen is aching and I feel in the area very painful. I think I have sore abdomen.,2
151,abdominal tenderness,Sore Abdomen,abdominal is sore to touch,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,My abdomen feels sore to the touch.,2
152,abdominal tenderness,Sore Abdomen,abdominal is sore to touch,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,Sometimes when I lay down I feel a strange sensation in my torso area and around the abdominal is sore to touch.,2
153,abdominal tenderness,Sore Abdomen,abdominal is sore to touch,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,"Yesterday my friends and me go to a bar. What i eat in that bar i don't remember now, but this morning my abdominal is sore to touch.",2
156,abdominal tenderness,Sore Abdomen,belly is sore to touch,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,I've had stomach discomfort for many years and now my belly is sore to touch.,2
157,abdominal tenderness,Sore Abdomen,belly is sore to touch,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,Severe tenderness when I touch my abdomen,2
158,abdominal tenderness,Sore Abdomen,belly is sore to touch,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,My belly feels sore when I touch it.,2
159,abdominal tenderness,Sore Abdomen,belly is sore to touch,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,Whether I am sitting down or standing up I feel this burning sometimes in my belly and if I touch the skin around my belly button area it hurts too but not on my sides or chest.,2
161,abdominal tenderness,Sore Abdomen,tender abdomen,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,"Right here in my abdomen it's very tender.  You have to press kind of hard to reach it, but it really hurts.  I've been doing a lot of yardwork lately.",2
162,abdominal tenderness,Sore Abdomen,tender abdomen,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,"Recently, my abdomen has been feeling really tender and painful to the touch.",2
163,abdominal tenderness,Sore Abdomen,tender abdomen,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,Whenever I lay on my side my abdomen seems to hurt. It is really tender right now.,2
164,abdominal tenderness,Sore Abdomen,tender abdomen,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,"I am so sore under my stomach and if I touch it, it's so sensitive and painful",2
165,abdominal tenderness,Sore Abdomen,tender abdomen,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,After I started to work in the warehouse I have been experiencing a very tender abdomen.,2
166,abdominal tenderness,Sore Abdomen,pain when touching belly,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,I have noticed over the past month my stomach has been painful when I touch it.,2
168,abdominal tenderness,Sore Abdomen,pain when touching belly,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,I have been experiencing severe pain whenever I touch my stomach.,2
169,abdominal tenderness,Sore Abdomen,pain when touching belly,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,My stomach has been feeling hot to the touch and it hurts when I touch it.,2
