label,text
fatigue,I have always had a lot of energy. I like to stay active but lately I have been feeling weak. I haven't been able to keep up with my kids activities and I have had to lay down several times during the day.
epistaxis,"I was standing outside and felt this water coming down my mouth and felt some coming from my nose. When I looked at it, there was blood."
mass at lower extremities,I feel like I have a mass on my hip. I was doing normal day to day stuff and something on hip started to bother me. I felt around and found this mass like thing on my hip. Not sure how it go there. It can be a little painful at times.
mass at lower extremities,I have a lump on my foot and it’s painful to walk on it.
weight loss,"I've been trying to gain weight, but nothing I can't seem to put on weight."
dyspnea,I find it hard to breathe when I walk
tachycardia,I was trying to go to sleep the other night. I wasn't anxious or anything and I had fast heart rhythms. That's why I came in to see you.
fatigue,I have been noticing the past few months that I've been experiencing a ton of fatigue throughout the day.
tachycardia,I am concerned about my heart because I have noticed when I am the least bit active my heart beats really fast.
epistaxis,"I was napping and when I stood up, I had a nosebleed."
epistaxis,Sometimes I get unexpected nosebleeds and I don't know why.
fatigue,I have noticed over the past month that my strength has decreased during most days.
fatigue,"I'm not feeling myself lately. No matter how much sleep I get, I am completely exhausted."
fever,fever
heartburn,It feels like I’ve been experiencing acid reflux.
dyspnea,feeling smothered
epistaxis,hemorrhage from the nostril
epistaxis,nose is bleeding
dyspnea,I have been having trouble breathing when doing regular daily activities.
fatigue,I am getting my 7 hours of sleep every night and somehow I am still feeling foggy and tired each day.
polydipsia,I am thirsty always. Why did I get this excessing thirst suddenly?
fever,I was feeling feverish and my forehead was hot and when I took my temperature it was well over 100 degrees
mass at lower extremities,I went to put my shorts on yesterday and I noticed the right leg of my shorts fit a little tighter than the left leg of my shorts. I noticed I had a lump on my right thigh that caused the shorts to fit tighter on that side. I have never noticed the bump before and my shorts have always fit before. This thigh lump is new and concerning.
heartburn,"After eating Chile Rellenos, I would start to feel acid reflux."
fatigue,"I recovered from CVID months back,
 but still I feel body ache even now after doing lightest of work."
weight loss,"I have noticed that I am not gaining weight. In fact, I seem to be losing weight without any effort."
heartburn,My chest feels like it is burning and on fire.
mass at lower extremities,"When I go on long walks, my legs and feet are really sore the next day."
weight loss,I've lost about 20 pounds over the last month or two. I have not been working out or dieting.
dyspnea,I am having trouble breathing.
tachycardia,I lost my job 2 months ago and I have been very stressed about how to pay my mortgage and now with gas prices so high my finances are very concerning to me. Lately I have noticed a heart rate that is too fast. I can feel it racing and it makes me even more stressed.
headache,"For the past month, quite often, I feel a lot of forehead pressure. Taking advil and relaxing doesn't seem to relieve it."
headache,When I am working I feel painful in my head.
fever,pyrexia
polydipsia,I can never drink enough water! I haven't even been working out!
weight loss,"I have lost a lot of weight recently, but I am not on a diet."
mass at lower extremities,mass at feet
epistaxis,I have noticed over the past month I experience frequent blood coming from my nose.
headache,I've had a severe migraine for awhile now. The pain is really bad in my head
fatigue,"Doctor, I have no energy.  I am tired all the time and just don't have the energy to clean house or anything."
dyspnea,I am having a hard time breathing. It is hard for me to breathe.
heartburn,"After I eat, I feel a burning sensation in my chest."
weight loss,"Over the past month I have not changed the way I eat, the amount I eat or the variety of foods that I eat. My exercise levels have been very consistent over the past month as well. This morning when I did my weekly weight check I noticed I had experienced a sudden weight loss. I cannot explain this sudden weight loss based on any lifestyle change I have made recently."
weight loss,"I have not changed my diet or exercise routine, yet I appear to be steadily losing weight."
dyspnea,Over the past month I have experienced an increase in feeling like I cannot breath during the night.
epistaxis,"When I start breathing heavy, I get a nosebleed"
fever,So I have noticed that I just randomly get goosebumps.
heartburn,When I eat I feel like it is sort of coming back up and kind of burns like I am supposed to burp but can't.
fatigue,I've noticed a significant loss of strength in my left hand that has gotten much worse recently.
mass at lower extremities,I have a mass in my hip and it is causing me a lot of discomfort.
fatigue,I always feel so tired.
epistaxis,I have been bleeding from the nose.
dyspnea,"Im having a hard time inhaling, I feel as though I can't catch my breath."
headache,I have noticed over the past month that my head is painful.  It feels like pressure in my head.
mass at lower extremities,My hip seems to have a lump in it.
weight loss,"Every time I weigh myself, I see that I have lost weight. I have been eating the same as usual, and even a little more than previously with my two desserts per night now."
fever,I started feeling febrile after a headache a couple days ago.
polydipsia,always thirsty
mass at lower extremities,"Heaviness in the lower half of my body, running is harder than before this heaviness."
fatigue,Over the past month I have experienced myself feeling increasingly tired throughout the day.
polydipsia,No matter how much water I drink it seems like it isn't enough.
fever,I feel hot and cold and I think I have a fever.
polydipsia,Don't know why my body keep asking me for more waters.
polydipsia,I constantly need to drink water because I am so dehydrated feeling all the time.
heartburn,"I've tried changing my diet, my exercise plan, and some other habits but no matter what I do this heartburn feeling hits every single time. Usually it's only when I lay down, but some times if I sit for too long without getting up to move, the heartburn will hit me then too."
polydipsia,I just can't drink enough water and I have read that this could be polydipsia.
polydipsia,constantly need to drink water
headache,Throughout the day I will feel these aches and pains that I feel would be normal if they didn't bother me so much.
weight loss,"I haven't changed anything about my diet or exercise level, but I've been losing weight. It's happening pretty quickly, and I'm getting worried."
headache,My head really hurts and I'm not sure why
fever,Hi doctor iam very warm as my body dilates blood vessels in a last ditch attempt to warm freezing tissue in my limbs
fatigue,"i dont feel like myself, i dont feel as strong as i usually do, im feeling weak and unable to carry out my day to day tasks"
weight loss,"I eat quite the same amount as I usually do, but I notice I'm losing a lot of weight now."
dyspnea,I ate some fish last night and it was very hard for me to breathe afterwards.
heartburn,"I think I'm experiencing heartburn. I notice it after I eat certain foods, but it feels like a burning in my chest."
tachycardia,While sleeping I feel like suddenly my heart rate increased.
weight loss,I have been eating more than usual but I have not been able to gain any weight.
fever,I was feeling hot last night so I took my temperature and noticed it was higher than it should be.
tachycardia,Even when resting I feel like I get a rapid heart rate randomly
headache,There is a pain in my head or face.
epistaxis,I've started getting nosebleeds out of the blue the past month. Is it a nasal issue? Something wrong with my brain?
fatigue,I've noticed lately whenever I do the smallest of things I start to feel really tired very quickly
fatigue,having no energy
fatigue,I feel tired all the time even with a full nights sleep.
weight loss,"I am having a balanced diet with carbs, fats etc in sufficient quantity, but still I am losing weight unintentionally."
weight loss,"I am concerned because even though I am following the high calorie diet, I am still not gaining weight properly and am not losing weight intentionally."
mass at lower extremities,mass at thighs
dyspnea,Over the past month I have experienced an increase in dyspnea while I sleep.
mass at lower extremities,I discovered a mass under the skin at my hip. It's not painful.
heartburn,After a meal I'm experiencing a lot of painful chest burn.
mass at lower extremities,I went hiking the other day and tripped over a tree root.  I think I rolled my ankle as there seems to be a mass on my lower extremities along with bruising and severe tenderness.
mass at lower extremities,I went swimming a few days ago and have been wondering about this mass at my thighs ever since.
polydipsia,"I feel really thirsty all of the time. No matter how much I drink, I am still really thirsty and feel dehydrated."
tachycardia,After working out I have a very rapid pulse.
mass at lower extremities,There is a lump on my hip.
fatigue,"I feel really tired all of the time, even in the morning, or just after exercise."
fatigue,"I have been feeling like I have no energy, like I  just cant get enough sleep"
epistaxis,I’ve had blood loss from the nose ever since I got hit by a baseball last week.
mass at lower extremities,Sometimes I'm just resting on the couch and I get mass at feet.
epistaxis,I get unexpected nosebleeds very often now.
dyspnea,"I'm having a hard time breathing, I cant get my breath."
dyspnea,hard time breathing
mass at lower extremities,I have this bump on my leg.
tachycardia,My heart rate is very high.  I haven't been running or exercising this morning.  I had to stop washing the dishes when I had a dizzy spell.
fatigue,"Sometimes I have a hard time getting motivated, I prefer to just lay in bed."
tachycardia,My heart is beating so fast maybe because of tension.
mass at lower extremities,mass at hip
epistaxis,I have been having nose bleeds recently.
fatigue,"I am experiencing more tiredness like never before, my schedule has not changed much, and what has been more excursive but I'm still not sleeping at night"
mass at lower extremities,The other day I was getting dressed and noticed a large bump protruding from my hip
epistaxis,Blood keeps coming out of my nose.
epistaxis,I have been experiencing nosebleeds when I stand up too quickly.
dyspnea,Everytime i lay down breathing becomes so umcomfortable that i have to get up immediatly
headache,"well, when I turn my head to the left too fast when the dog starts barking, the left half of my head hurts real bad."
mass at lower extremities,I have a large mass on my left leg all of a sudden.
headache,migraine
dyspnea,"I haven't been able to breathe correctly. It feels like my lungs are restricting and only little air is coming through. I can't get up and move for long periods of time otherwise, I  experience shortness of breath and feel dizzy."
tachycardia,My heart feels like it is beating faster than it usually does.
dyspnea,feeling suffocated
epistaxis,I get nosebleeds at random times for no reason
mass at lower extremities,"I recently found a lump on my inner left thigh. I first noticed it about 2 weeks ago, and thought I'd better get it checked out when it didn't go away."
mass at lower extremities,"Mass At The Hip, Thighs, Legs Or Feet"
fever,I have a fever.
dyspnea,I took a walk around the block and noticed that I was having trouble breathing.
epistaxis,My niece prone to nosebleeds at night and I am unsure what to do at home to prevent it
fatigue,body pain
fatigue,"Since I have been very depressed, I have been experiencing low energy."
fatigue,It is difficult for me to do normal activities because lately I seem to be having no energy.
weight loss,I have been dropping pounds to the point where I had to get new clothes and I don't know why
polydipsia,From the moment I started using the sauna I am constantly very thirsty.
dyspnea,Over the past month I have experienced an increase in dyspnea while I am walking outside.
heartburn,I've been experiencing a great deal of heartburn after meals and I'm concerned about possibly having acid reflux.
weight loss,"I have been extremely hungry lately, and have been eating quite a bit more than usual.  However every time I get on the scale the numbers are not increasing but decreasing it seems as if I'm underweight."
headache,I am experiencing aches everywhere.
weight loss,insufficient weight
epistaxis,I keep getting nosebleeds in the middle of the night
fatigue,I have noticed over the past month that I often feel fatigued and tired during the day.
fatigue,I have this all over body pain and it just makes me so fatiqued.
weight loss,I have noticed that I've lost weight recently.
dyspnea,I just feel like I am being smothered or suffocated. Almost feels like I am under water.
headache,throbbing feeling around forehead
tachycardia,My heart feels as though it is beating really fast.
weight loss,Now a days i was in underweight.
fever,good morning; i woke up with a temperature of a hundred degrees fareinheight yesterday and it reached a hundred and one last night and my temperature is still at that level today so i figured i better come in for an appointment.
dyspnea,I've been experiencing dyspnea for a couple of weeks now since I started working in the factory nearby our house. We are packing goods there but even though when i'm sitting only i'm still experiencing it.
headache,"I have head pain, congestion, and a sore throat for the past week."
fatigue,"Even after a good night's rest, I am still tired all day"
weight loss,Over the past month I have experienced unexplained weight loss of 20 pounds.
heartburn,"When I eat spicy foods, I get heartburn every time."
mass at lower extremities,I have a weird lump on my thigh I'd like you to take a look at.
epistaxis,My nose has been bleeding off and on lately.
polydipsia,excessive thirst
polydipsia,"I have been excessively thirsty lately, not sure what's going on."
fatigue,Don't feel like getting up in the morning or do simple tasks.
heartburn,I have a burning in my chest and throat.
weight loss,I can't gain any weight no matter what I do.
heartburn,It feels really hot in my chest after I eat certain foods.
dyspnea,I've been having a hard time breathing and it feels like something is sitting on my chest.
polydipsia,I feel thirsty all the time. A lot more than before.
fever,I do not feel very well and I believe I have a fever.
weight loss,"I keep trying to put on weight, but no matter what I do, it seems like I just keep losing weight."
fatigue,"I feel so lazy, and can't get my work done at my job some days"
headache,I have a headache that is putting pressure at my forehead.
tachycardia,When i awoke this morning I felt like my heart was rapidly beating out of my chest! I tried to take my pulse but my heart was pounding so hard i couldn't focus. I thought i was having a heart attack so i rushed here
headache,I feel like I have a really bad throbbing headache across my forehead
heartburn,I didn't hungry at all. I keeping feel burning in my stomach. It is getting worse after having meal.
fatigue,My body has been in pain lately and I have been very tired.
polydipsia,Don't know even after drinking 4 to 5 liters of water i always feel like my body need more water.
dyspnea,air need
fever,"Even though it was 85 degrees yesterday, I had shivering chills all day long"
fatigue,"Lately I haven't had much energy, I've been experiencing fatigue and lethargy."
headache,My head hurts each time am showing the television
tachycardia,I was checking my blood pressure the other day and I noticed that I had a fast pulse.
weight loss,"No matter what I eat or how much I exercise, I can't keep my weight where I want it. I feel like I'm losing weight and I don't like it. I don't feel healthy and nothing seems to work to gain weight."
mass at lower extremities,"Compare to my upper body, which is normal in size, there happens to be a mass at lower extremities."
dyspnea,I cannot enjoy walking my dog because I have a hard time breathing.
tachycardia,"I feel like my heart is going to jump out of my chest, like I just ran but I am sitting on the couch watching tv."
fatigue,feeling of weakness
mass at lower extremities,My legs and feet have some type of mass in them. Help.
fatigue,"Hello sir, my age is 32 years now and i don't very active in my daily life. But when i want to do something i easily feeling tired. Is that any serious about for it ?"
mass at lower extremities,I have this abscess-like thing that is also called a lump at the lower extremities. It must have happened when I was playing baseball and got hit so many times below the belt.
polydipsia,"I am so thirsty all the time, no amount of water helps."
tachycardia,"I was trying to sleep when suddenly my heart started to beat extremely fast, I've felt it before when I had panic attacks, but not like it happened today."
mass at lower extremities,lump at lower extremities
fever,I have had a cold for several days and keep getting the goosebumps off and on.
fatigue,feeling lazy
epistaxis,"My nose keeps bleeding all of the time, even when there's plenty of humidity."
mass at lower extremities,There is some kind of lump on my left thigh. Right in between my legs there.
dyspnea,oxygen need
headache,"I have just been experiencing little aches all over, especially in the joints."
polydipsia,"No matter how much I drink, I am still thirsty."
headache,I'm feeling pressure in my forehead It is pounding.
polydipsia,I have been really thirsty lately. I have been drinking a lot of water maybe too much. I have been drinking probably 15 glasses a day.
mass at lower extremities,I noticed a lump in my leg this morning when I was putting on lotion.
fatigue,I have noticed over the past month that I have been extra tired and lazy.
weight loss,I am eating regularly everyday. But somehow I am experiencing the weight loss. I tried to eat more but my weight is still decreasing.
weight loss,I went on a cruise and ate cake every day but I still lost weight.
fatigue,"I am tired all the time, even if I haven't been doing much."
fever,I think I have a fever.
tachycardia,I have experienced a lot of stress lately due to loosing my job and every day I feel rapid heart rhythms.
headache,severe headache high pain in my head and eyes
mass at lower extremities,I have a mass at legs and it is hard to walk.
