label,desc
57,Other specified bacterial foodborne intoxications
58,"Bacterial foodborne intoxication, unspecified"
59,Amebiasis
60,Acute amebic dysentery
60,Acute amebiasis
60,Intestinal amebiasis NOS
61,Chronic intestinal amebiasis
62,Amebic nondysenteric colitis
63,Ameboma of intestine
63,Ameboma NOS
64,Amebic liver abscess
64,Hepatic amebiasis
65,Amebic lung abscess
65,Amebic abscess of lung (and liver)
66,Amebic brain abscess
66,Amebic abscess of brain (and liver) (and lung)
67,Cutaneous amebiasis
68,Amebic infection of other sites
69,Amebic cystitis
70,Other amebic genitourinary infections
70,Amebic balanitis
70,Amebic vesiculitis
70,Amebic vulvovaginitis
71,Other amebic infections
71,Amebic appendicitis
71,Amebic splenic abscess
72,"Amebiasis, unspecified"
73,Other protozoal intestinal diseases
74,Balantidiasis
74,Balantidial dysentery
75,Giardiasis [lambliasis]
76,Cryptosporidiosis
77,Isosporiasis
77,Infection due to Isospora belli and Isospora hominis
77,Intestinal coccidiosis
77,Isosporosis
78,Cyclosporiasis
79,Other specified protozoal intestinal diseases
79,Intestinal microsporidiosis
79,Intestinal trichomoniasis
79,Sarcocystosis
79,Sarcosporidiosis
80,"Protozoal intestinal disease, unspecified"
80,Flagellate diarrhea
80,Protozoal colitis
80,Protozoal diarrhea
80,Protozoal dysentery
81,Viral and other specified intestinal infections
82,Rotaviral enteritis
83,Acute gastroenteropathy due to Norwalk agent and other small round viruses
84,Acute gastroenteropathy due to Norwalk agent
84,Acute gastroenteropathy due to Norovirus
84,Acute gastroenteropathy due to Norwalk-like agent
85,Acute gastroenteropathy due to other small round viruses
85,Acute gastroenteropathy due to small round virus [SRV] NOS
86,Adenoviral enteritis
87,Other viral enteritis
88,Calicivirus enteritis
89,Astrovirus enteritis
90,Other viral enteritis
90,Coxsackie virus enteritis
90,Echovirus enteritis
90,Enterovirus enteritis NEC
90,Torovirus enteritis
91,"Viral intestinal infection, unspecified"
91,Viral enteritis NOS
91,Viral gastroenteritis NOS
91,Viral gastroenteropathy NOS
92,Other specified intestinal infections
93,"Infectious gastroenteritis and colitis, unspecified"
93,Infectious colitis NOS
93,Infectious enteritis NOS
93,Infectious gastroenteritis NOS
94,Respiratory tuberculosis
95,Tuberculosis of lung
95,Tuberculous bronchiectasis
95,Tuberculous fibrosis of lung
95,Tuberculous pneumonia
95,Tuberculous pneumothorax
96,Tuberculosis of intrathoracic lymph nodes
96,Tuberculosis of hilar lymph nodes
96,Tuberculosis of mediastinal lymph nodes
96,Tuberculosis of tracheobronchial lymph nodes
97,"Tuberculosis of larynx, trachea and bronchus"
97,Tuberculosis of bronchus
97,Tuberculosis of glottis
97,Tuberculosis of larynx
97,Tuberculosis of trachea
98,Tuberculous pleurisy
98,Tuberculosis of pleura Tuberculous empyema
99,Primary respiratory tuberculosis
100,Other respiratory tuberculosis
100,Mediastinal tuberculosis
100,Nasopharyngeal tuberculosis
100,Tuberculosis of nose
100,Tuberculosis of sinus [any nasal]
101,Respiratory tuberculosis unspecified
102,Tuberculosis of nervous system
103,Tuberculous meningitis
103,Tuberculosis of meninges (cerebral)(spinal)
103,Tuberculous leptomeningitis
104,Meningeal tuberculoma
104,Tuberculoma of meninges (cerebral) (spinal)
105,Other tuberculosis of nervous system
106,Tuberculoma of brain and spinal cord
106,Tuberculous abscess of brain and spinal cord
107,Tuberculous meningoencephalitis
107,Tuberculous myelitis
108,Tuberculous neuritis
108,Tuberculous mononeuropathy
109,Other tuberculosis of nervous system
109,Tuberculous polyneuropathy
110,"Tuberculosis of nervous system, unspecified"
111,Tuberculosis of other organs
112,Tuberculosis of bones and joints
113,Tuberculosis of spine
113,Pott's disease or curvature of spine
113,Tuberculous arthritis
113,Tuberculous osteomyelitis of spine
113,Tuberculous spondylitis
114,Tuberculous arthritis of other joints
114,Tuberculosis of hip (joint)
114,Tuberculosis of knee (joint)
115,Tuberculosis of other bones
115,Tuberculous mastoiditis
115,Tuberculous osteomyelitis
116,Other musculoskeletal tuberculosis
116,Tuberculous myositis
116,Tuberculous synovitis
116,Tuberculous tenosynovitis
117,Tuberculosis of genitourinary system
118,"Tuberculosis of genitourinary system, unspecified"
119,Tuberculosis of kidney and ureter
120,Tuberculosis of bladder
121,Tuberculosis of other urinary organs
121,Tuberculous urethritis
122,Tuberculosis of prostate
123,Tuberculosis of other male genital organs
124,Tuberculosis of cervix
125,Tuberculous female pelvic inflammatory disease
125,Tuberculous endometritis
125,Tuberculous oophoritis and salpingitis
126,Tuberculosis of other female genital organs
126,Tuberculous ulceration of vulva
127,Tuberculous peripheral lymphadenopathy
127,Tuberculous adenitis
128,"Tuberculosis of intestines, peritoneum and mesenteric glands"
129,Tuberculous peritonitis
129,Tuberculous ascites
130,Tuberculous enteritis
130,Tuberculosis of anus and rectum
130,Tuberculosis of intestine (large) (small)
131,Retroperitoneal tuberculosis
131,Tuberculosis of mesenteric glands
131,Tuberculosis of retroperitoneal (lymph glands)
132,Tuberculosis of skin and subcutaneous tissue
132,"Erythema induratum, tuberculous"
132,Lupus excedens
132,Lupus vulgaris NOS
132,Lupus vulgaris of eyelid
132,Scrofuloderma
132,Tuberculosis of external ear
133,Tuberculosis of eye
134,"Tuberculosis of eye, unspecified"
135,Tuberculous episcleritis
136,Tuberculous keratitis
136,Tuberculous interstitial keratitis
136,Tuberculous keratoconjunctivitis (interstitial) (phlyctenular)
137,Tuberculous chorioretinitis
138,Tuberculous iridocyclitis
139,Other tuberculosis of eye
139,Tuberculous conjunctivitis
140,Tuberculosis of (inner) (middle) ear
140,Tuberculous otitis media
141,Tuberculosis of adrenal glands
141,Tuberculous Addison's disease
142,Tuberculosis of other specified organs
143,Tuberculosis of thyroid gland
144,Tuberculosis of other endocrine glands
144,Tuberculosis of pituitary gland
144,Tuberculosis of thymus gland
145,"Tuberculosis of digestive tract organs, not elsewhere classified"
146,Tuberculosis of heart
146,Tuberculous cardiomyopathy
146,Tuberculous endocarditis
146,Tuberculous myocarditis
146,Tuberculous pericarditis
147,Tuberculosis of spleen
148,Tuberculosis of other sites
148,Tuberculosis of muscle
148,Tuberculous cerebral arteritis
149,Miliary tuberculosis
150,Acute miliary tuberculosis of a single specified site
151,Acute miliary tuberculosis of multiple sites
152,"Acute miliary tuberculosis, unspecified"
153,Other miliary tuberculosis
154,"Miliary tuberculosis, unspecified"
155,Plague
156,Bubonic plague
157,Cellulocutaneous plague
158,Pneumonic plague
159,Plague meningitis
160,Septicemic plague
161,Other forms of plague
161,Abortive plague
161,Asymptomatic plague
161,Pestis minor
162,"Plague, unspecified"
163,Tularemia
164,Ulceroglandular tularemia
165,Oculoglandular tularemia
165,Ophthalmic tularemia
166,Pulmonary tularemia
167,Gastrointestinal tularemia
167,Abdominal tularemia
168,Generalized tularemia
169,Other forms of tularemia
170,"Tularemia, unspecified"
171,Anthrax
172,Cutaneous anthrax
172,Malignant carbuncle
172,Malignant pustule
173,Pulmonary anthrax
173,Inhalation anthrax
173,Ragpicker's disease
173,Woolsorter's disease
174,Gastrointestinal anthrax
175,Anthrax sepsis
176,Other forms of anthrax
176,Anthrax meningitis
177,"Anthrax, unspecified"
178,Brucellosis
179,Brucellosis due to Brucella melitensis
180,Brucellosis due to Brucella abortus
181,Brucellosis due to Brucella suis
182,Brucellosis due to Brucella canis
183,Other brucellosis
184,"Brucellosis, unspecified"
185,Glanders and melioidosis
186,Glanders
186,Infection due to Pseudomonas mallei
186,Malleus
187,Acute and fulminating melioidosis
187,Melioidosis pneumonia
187,Melioidosis sepsis
188,Subacute and chronic melioidosis
189,Other melioidosis
190,"Melioidosis, unspecified"
190,Infection due to Pseudomonas pseudomallei NOS
190,Whitmore's disease
191,Rat-bite fevers
192,Spirillosis
192,Sodoku
193,Streptobacillosis
193,Epidemic arthritic erythema
193,Haverhill fever
193,Streptobacillary rat-bite fever
194,"Rat-bite fever, unspecified"
195,Erysipeloid
196,Cutaneous erysipeloid
196,Erythema migrans
197,Erysipelothrix sepsis
198,Other forms of erysipeloid
199,"Erysipeloid, unspecified"
200,Leptospirosis
201,Leptospirosis icterohemorrhagica
201,Leptospiral or spirochetal jaundice (hemorrhagic)
201,Weil's disease
202,Other forms of leptospirosis
203,Aseptic meningitis in leptospirosis
204,Other forms of leptospirosis
205,"Leptospirosis, unspecified"
206,"Other zoonotic bacterial diseases, not elsewhere classified"
207,Pasteurellosis
208,Cat-scratch disease
208,Cat-scratch fever
209,Extraintestinal yersiniosis
210,"Other specified zoonotic bacterial diseases, not elsewhere classified"
211,"Zoonotic bacterial disease, unspecified"
212,Leprosy [Hansen's disease]
213,Indeterminate leprosy
213,I leprosy
214,Tuberculoid leprosy
214,TT leprosy
215,Borderline tuberculoid leprosy
215,BT leprosy
216,Borderline leprosy
216,BB leprosy
217,Borderline lepromatous leprosy
217,BL leprosy
218,Lepromatous leprosy
218,LL leprosy
219,Other forms of leprosy
220,"Leprosy, unspecified"
221,Infection due to other mycobacteria
222,Pulmonary mycobacterial infection
222,Infection due to Mycobacterium avium
222,Infection due to Mycobacterium intracellulare [Battey bacillus]
222,Infection due to Mycobacterium kansasii
223,Cutaneous mycobacterial infection
223,Buruli ulcer
223,Infection due to Mycobacterium marinum
223,Infection due to Mycobacterium ulcerans
224,Disseminated mycobacterium avium-intracellulare complex (DMAC)
224,MAC sepsis
225,Other mycobacterial infections
226,"Mycobacterial infection, unspecified"
226,Atypical mycobacterial infection NOS
226,Mycobacteriosis NOS
227,Listeriosis
228,Cutaneous listeriosis
229,Listerial meningitis and meningoencephalitis
230,Listerial meningitis
231,Listerial meningoencephalitis
232,Listerial sepsis
233,Other forms of listeriosis
234,Oculoglandular listeriosis
235,Listerial endocarditis
236,Other forms of listeriosis
236,Listerial cerebral arteritis
237,"Listeriosis, unspecified"
238,Tetanus neonatorum
239,Obstetrical tetanus
240,Other tetanus
240,Tetanus NOS
241,Diphtheria
242,Pharyngeal diphtheria
242,Diphtheritic membranous angina
242,Tonsillar diphtheria
243,Nasopharyngeal diphtheria
244,Laryngeal diphtheria
244,Diphtheritic laryngotracheitis
245,Cutaneous diphtheria
246,Other diphtheria
247,Diphtheritic cardiomyopathy
247,Diphtheritic myocarditis
248,Diphtheritic radiculomyelitis
249,Diphtheritic polyneuritis
250,Diphtheritic tubulo-interstitial nephropathy
251,Diphtheritic cystitis
252,Diphtheritic conjunctivitis
253,Other diphtheritic complications
253,Diphtheritic peritonitis
254,"Diphtheria, unspecified"
255,Whooping cough
256,Whooping cough due to Bordetella pertussis
257,Whooping cough due to Bordetella pertussis without pneumonia
257,Paroxysmal cough due to Bordetella pertussis without pneumonia
258,Whooping cough due to Bordetella pertussis with pneumonia
258,Paroxysmal cough due to Bordetella pertussis with pneumonia
259,Whooping cough due to Bordetella parapertussis
260,Whooping cough due to Bordetella parapertussis without pneumonia
261,Whooping cough due to Bordetella parapertussis with pneumonia
262,Whooping cough due to other Bordetella species
263,Whooping cough due to other Bordetella species without pneumonia
264,Whooping cough due to other Bordetella species with pneumonia
265,"Whooping cough, unspecified species"
266,"Whooping cough, unspecified species without pneumonia"
267,"Whooping cough, unspecified species with pneumonia"
268,Scarlet fever
269,Scarlet fever with otitis media
270,Scarlet fever with myocarditis
271,Scarlet fever with other complications
272,"Scarlet fever, uncomplicated"
272,"Scarlet fever, NOS"
273,Meningococcal infection
274,Meningococcal meningitis
275,Waterhouse-Friderichsen syndrome
275,Meningococcal hemorrhagic adrenalitis
275,Meningococcic adrenal syndrome
276,Acute meningococcemia
277,Chronic meningococcemia
278,"Meningococcemia, unspecified"
279,Meningococcal heart disease
280,"Meningococcal carditis, unspecified"
281,Meningococcal endocarditis
282,Meningococcal myocarditis
283,Meningococcal pericarditis
284,Other meningococcal infections
285,Meningococcal encephalitis
286,Meningococcal retrobulbar neuritis
287,Meningococcal arthritis
288,Postmeningococcal arthritis
289,Other meningococcal infections
289,Meningococcal conjunctivitis
290,"Meningococcal infection, unspecified"
290,Meningococcal disease NOS
291,Streptococcal sepsis
292,"Sepsis due to streptococcus, group A"
293,"Sepsis due to streptococcus, group B"
294,Sepsis due to Streptococcus pneumoniae
294,Pneumococcal sepsis
295,Other streptococcal sepsis
296,"Streptococcal sepsis, unspecified"
297,Other sepsis
298,Sepsis due to Staphylococcus aureus
299,Sepsis due to Methicillin susceptible Staphylococcus aureus
299,MSSA sepsis
299,Staphylococcus aureus sepsis NOS
300,Sepsis due to Methicillin resistant Staphylococcus aureus
301,Sepsis due to other specified staphylococcus
301,Coagulase negative staphylococcus sepsis
302,Sepsis due to unspecified staphylococcus
303,Sepsis due to Hemophilus influenzae
304,Sepsis due to anaerobes
305,Sepsis due to other Gram-negative organisms
306,"Gram-negative sepsis, unspecified"
306,Gram-negative sepsis NOS
307,Sepsis due to Escherichia coli [E. coli]
308,Sepsis due to Pseudomonas
308,Pseudomonas aeruginosa
309,Sepsis due to Serratia
310,Sepsis due to Acinetobacter baumannii
311,Other Gram-negative sepsis
312,Other specified sepsis
313,Sepsis due to Enterococcus
314,Other specified sepsis
315,"Sepsis, unspecified organism"
315,Septicemia NOS
316,Actinomycosis
317,Pulmonary actinomycosis
318,Abdominal actinomycosis
319,Cervicofacial actinomycosis
320,Actinomycotic sepsis
321,Other forms of actinomycosis
322,Actinomycotic meningitis
323,Actinomycotic encephalitis
324,Other forms of actinomycosis
325,"Actinomycosis, unspecified"
326,Nocardiosis
327,Pulmonary nocardiosis
328,Cutaneous nocardiosis
329,Other forms of nocardiosis
330,"Nocardiosis, unspecified"
331,Bartonellosis
332,Systemic bartonellosis
332,Oroya fever
333,Cutaneous and mucocutaneous bartonellosis
333,Verruga peruana
334,Other forms of bartonellosis
335,"Bartonellosis, unspecified"
336,Erysipelas
337,"Other bacterial diseases, not elsewhere classified"
338,Gas gangrene
338,Clostridial cellulitis
338,Clostridial myonecrosis
339,Legionnaires' disease
340,Nonpneumonic Legionnaires' disease [Pontiac fever]
341,Toxic shock syndrome
342,Brazilian purpuric fever
342,Systemic Hemophilus aegyptius infection
343,Other specified botulism
343,Non-foodborne intoxication due to toxins of Clostridium botulinum [C. botulinum]
344,Infant botulism
345,Wound botulism
345,Non-foodborne botulism NOS
346,Other specified bacterial diseases
347,Bacterial infection of unspecified site
348,"Staphylococcal infection, unspecified site"
349,"Methicillin susceptible Staphylococcus aureus infection, unspecified site"
349,Methicillin susceptible Staphylococcus aureus (MSSA) infection
349,Staphylococcus aureus infection NOS
350,"Methicillin resistant Staphylococcus aureus infection, unspecified site"
350,Methicillin resistant Staphylococcus aureus (MRSA) infection
351,"Streptococcal infection, unspecified site"
352,"Hemophilus influenzae infection, unspecified site"
353,"Mycoplasma infection, unspecified site"
354,Other bacterial infections of unspecified site
355,"Bacterial infection, unspecified"
356,Congenital syphilis
357,"Early congenital syphilis, symptomatic"
357,Any congenital syphilitic condition specified as early or manifest less than two years after birth.
358,Early congenital syphilitic oculopathy
359,Early congenital syphilitic osteochondropathy
360,Early congenital syphilitic pharyngitis
360,Early congenital syphilitic laryngitis
361,Early congenital syphilitic pneumonia
362,Early congenital syphilitic rhinitis
363,Early cutaneous congenital syphilis
364,Early mucocutaneous congenital syphilis
365,Early visceral congenital syphilis
366,"Other early congenital syphilis, symptomatic"
367,"Early congenital syphilis, latent"
367,"Congenital syphilis without clinical manifestations, with positive serological reaction and negative spinal fluid test, less than two years after birth."
368,"Early congenital syphilis, unspecified"
368,Congenital syphilis NOS less than two years after birth.
369,Late congenital syphilitic oculopathy
370,"Late congenital syphilitic oculopathy, unspecified"
371,Late congenital syphilitic interstitial keratitis
372,Late congenital syphilitic chorioretinitis
373,Other late congenital syphilitic oculopathy
374,Late congenital neurosyphilis [juvenile neurosyphilis]
375,"Late congenital neurosyphilis, unspecified"
375,Juvenile neurosyphilis NOS
376,Late congenital syphilitic meningitis
377,Late congenital syphilitic encephalitis
378,Late congenital syphilitic polyneuropathy
379,Late congenital syphilitic optic nerve atrophy
380,Juvenile general paresis
380,Dementia paralytica juvenilis
380,Juvenile tabetoparetic neurosyphilis
381,Other late congenital neurosyphilis
381,Juvenile tabes dorsalis
382,"Other late congenital syphilis, symptomatic"
382,Any congenital syphilitic condition specified as late or manifest two years or more after birth.
383,Clutton's joints
384,Hutchinson's teeth
385,Hutchinson's triad
386,Late congenital cardiovascular syphilis
387,Late congenital syphilitic arthropathy
388,Late congenital syphilitic osteochondropathy
389,Syphilitic saddle nose
390,"Other late congenital syphilis, symptomatic"
391,"Late congenital syphilis, latent"
391,"Congenital syphilis without clinical manifestations, with positive serological reaction and negative spinal fluid test, two years or more after birth."
392,"Late congenital syphilis, unspecified"
392,Congenital syphilis NOS two years or more after birth.
393,"Congenital syphilis, unspecified"
394,Early syphilis
395,Primary genital syphilis
395,Syphilitic chancre NOS
396,Primary anal syphilis
397,Primary syphilis of other sites
398,Secondary syphilis of skin and mucous membranes
399,Condyloma latum
400,Syphilitic alopecia
401,Other secondary syphilis of skin
401,Syphilitic leukoderma
401,Syphilitic mucous patch
402,Other secondary syphilis
403,Secondary syphilitic meningitis
404,Secondary syphilitic female pelvic disease
405,Secondary syphilitic oculopathy
405,Secondary syphilitic chorioretinitis
405,"Secondary syphilitic iridocyclitis, iritis"
405,Secondary syphilitic uveitis
406,Secondary syphilitic nephritis
407,Secondary syphilitic hepatitis
408,Secondary syphilitic osteopathy
409,Other secondary syphilitic conditions
409,Secondary syphilitic lymphadenopathy
409,Secondary syphilitic myositis
410,"Early syphilis, latent"
410,"Syphilis (acquired) without clinical manifestations, with positive serological reaction and negative spinal fluid test, less than two years after infection."
411,"Early syphilis, unspecified"
412,Late syphilis
413,Cardiovascular and cerebrovascular syphilis
414,"Cardiovascular syphilis, unspecified"
415,Syphilitic aneurysm of aorta
416,Syphilitic aortitis
417,Syphilitic endocarditis
417,Syphilitic aortic valve incompetence or stenosis
417,Syphilitic mitral valve stenosis
417,Syphilitic pulmonary valve regurgitation
418,Syphilitic cerebral arteritis
419,Other cerebrovascular syphilis
419,Syphilitic cerebral aneurysm (ruptured) (non-ruptured)
419,Syphilitic cerebral thrombosis
420,Other syphilitic heart involvement
420,Syphilitic coronary artery disease
420,Syphilitic myocarditis
420,Syphilitic pericarditis
421,Other cardiovascular syphilis
422,Symptomatic neurosyphilis
423,"Symptomatic neurosyphilis, unspecified"
424,Tabes dorsalis
424,Locomotor ataxia (progressive)
424,Tabetic neurosyphilis
425,Other cerebrospinal syphilis
426,Late syphilitic meningitis
427,Late syphilitic encephalitis
428,Late syphilitic neuropathy
428,Late syphilitic acoustic neuritis
428,Late syphilitic optic (nerve) atrophy
428,Late syphilitic polyneuropathy
428,Late syphilitic retrobulbar neuritis
429,Charcôt's arthropathy (tabetic)
430,General paresis
430,Dementia paralytica
431,Other symptomatic neurosyphilis
431,Syphilitic parkinsonism
432,Asymptomatic neurosyphilis
433,"Neurosyphilis, unspecified"
433,Gumma (syphilitic)
433,Syphilis (late)
433,Syphiloma
434,Other symptomatic late syphilis
435,Late syphilitic oculopathy
435,Late syphilitic chorioretinitis
435,Late syphilitic episcleritis
436,Syphilis of lung and bronchus
437,Symptomatic late syphilis of other respiratory organs
438,Syphilis of liver and other viscera
438,Late syphilitic peritonitis
439,Syphilis of kidney and ureter
439,Syphilitic glomerular disease
440,Other genitourinary symptomatic late syphilis
440,Late syphilitic female pelvic inflammatory disease
441,Syphilis of bone and joint
442,Syphilis of other musculoskeletal tissue
442,Late syphilitic bursitis
442,Syphilis [stage unspecified] of bursa
442,Syphilis [stage unspecified] of muscle
442,Syphilis [stage unspecified] of synovium
442,Syphilis [stage unspecified] of tendon
443,Other symptomatic late syphilis
443,Late syphilitic leukoderma
443,Syphilis of adrenal gland
443,Syphilis of pituitary gland
443,Syphilis of thyroid gland
443,Syphilitic splenomegaly
444,"Late syphilis, latent"
444,"Syphilis (acquired) without clinical manifestations, with positive serological reaction and negative spinal fluid test, two years or more after infection"
445,"Late syphilis, unspecified"
446,Other and unspecified syphilis
447,"Latent syphilis, unspecified as early or late"
447,Latent syphilis NOS
447,Positive serological reaction for syphilis
448,"Syphilis, unspecified"
448,Infection due to Treponema pallidum NOS
448,Syphilis (acquired) NOS
449,Gonococcal infection
450,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess
451,"Gonococcal infection of lower genitourinary tract, unspecified"
452,"Gonococcal cystitis and urethritis, unspecified"
453,"Gonococcal vulvovaginitis, unspecified"
454,"Gonococcal cervicitis, unspecified"
455,Other gonococcal infection of lower genitourinary tract
456,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess
456,Gonococcal Bartholin's gland abscess
457,Gonococcal pelviperitonitis and other gonococcal genitourinary infection
458,Gonococcal infection of kidney and ureter
459,Gonococcal prostatitis
460,Gonococcal infection of other male genital organs
460,Gonococcal epididymitis
460,Gonococcal orchitis
461,Gonococcal female pelvic inflammatory disease
461,Gonococcal pelviperitonitis
462,Other gonococcal genitourinary infections
463,Gonococcal infection of eye
464,"Gonococcal infection of eye, unspecified"
465,Gonococcal conjunctivitis
465,Ophthalmia neonatorum due to gonococcus
466,Gonococcal iridocyclitis
467,Gonococcal keratitis
468,Other gonococcal eye infection
468,Gonococcal endophthalmia
469,Gonococcal infection of musculoskeletal system
470,"Gonococcal infection of musculoskeletal system, unspecified"
471,Gonococcal spondylopathy
472,Gonococcal arthritis
473,Gonococcal osteomyelitis
474,Gonococcal infection of other musculoskeletal tissue
474,Gonococcal bursitis
474,Gonococcal myositis
474,Gonococcal synovitis
474,Gonococcal tenosynovitis
475,Gonococcal pharyngitis
476,Gonococcal infection of anus and rectum
477,Other gonococcal infections
478,Gonococcal meningitis
479,Gonococcal brain abscess
480,Gonococcal heart infection
480,Gonococcal endocarditis
480,Gonococcal myocarditis
480,Gonococcal pericarditis
481,Gonococcal pneumonia
482,Gonococcal peritonitis
483,Gonococcal sepsis
484,Other gonococcal infections
484,Gonococcal keratoderma
484,Gonococcal lymphadenitis
485,"Gonococcal infection, unspecified"
486,Chlamydial lymphogranuloma (venereum)
486,Climatic or tropical bubo
486,Durand-Nicolas-Favre disease
486,Esthiomene
486,Lymphogranuloma inguinale
487,Other sexually transmitted chlamydial diseases
488,Chlamydial infection of lower genitourinary tract
489,"Chlamydial infection of lower genitourinary tract, unspecified"
490,Chlamydial cystitis and urethritis
491,Chlamydial vulvovaginitis
492,Other chlamydial infection of lower genitourinary tract
492,Chlamydial cervicitis
493,Chlamydial infection of pelviperitoneum and other genitourinary organs
494,Chlamydial female pelvic inflammatory disease
495,Other chlamydial genitourinary infection
495,Chlamydial epididymitis
495,Chlamydial orchitis
496,"Chlamydial infection of genitourinary tract, unspecified"
497,Chlamydial infection of anus and rectum
498,Chlamydial infection of pharynx
499,Sexually transmitted chlamydial infection of other sites
500,Chancroid
500,Ulcus molle
501,Granuloma inguinale
501,Donovanosis
502,Trichomoniasis
503,Urogenital trichomoniasis
504,"Urogenital trichomoniasis, unspecified"
504,Fluor (vaginalis) due to Trichomonas
504,Leukorrhea (vaginalis) due to Trichomonas
505,Trichomonal vulvovaginitis
506,Trichomonal prostatitis
507,Trichomonal cystitis and urethritis
508,Other urogenital trichomoniasis
508,Trichomonas cervicitis
509,Trichomoniasis of other sites
510,"Trichomoniasis, unspecified"
511,Anogenital herpesviral [herpes simplex] infections
512,Herpesviral infection of genitalia and urogenital tract
513,"Herpesviral infection of urogenital system, unspecified"
514,Herpesviral infection of penis
515,Herpesviral infection of other male genital organs
516,Herpesviral cervicitis
517,Herpesviral vulvovaginitis
517,Herpesviral [herpes simplex] ulceration
517,Herpesviral [herpes simplex] vaginitis
517,Herpesviral [herpes simplex] vulvitis
518,Herpesviral infection of other urogenital tract
519,Herpesviral infection of perianal skin and rectum
520,"Anogenital herpesviral infection, unspecified"
521,"Other predominantly sexually transmitted diseases, not elsewhere classified"
522,Anogenital (venereal) warts
522,Anogenital warts due to (human) papillomavirus [HPV]
522,Condyloma acuminatum
523,Other specified predominantly sexually transmitted diseases
524,Unspecified sexually transmitted disease
525,Nonvenereal syphilis
525,Bejel
525,Endemic syphilis
525,Njovera
526,Yaws
527,Initial lesions of yaws
527,Chancre of yaws
527,"Frambesia, initial or primary"
527,Initial frambesial ulcer
527,Mother yaw
528,Multiple papillomata and wet crab yaws
528,Frambesioma
528,Pianoma
528,Plantar or palmar papilloma of yaws
529,Other early skin lesions of yaws
529,"Cutaneous yaws, less than five years after infection"
529,Early yaws (cutaneous)(macular)(maculopapular)(micropapular)(papular)
529,Frambeside of early yaws
530,Hyperkeratosis of yaws
530,Ghoul hand
530,"Hyperkeratosis, palmar or plantar (early) (late) due to yaws"
530,Worm-eaten soles
531,Gummata and ulcers of yaws
531,Gummatous frambeside
531,Nodular late yaws (ulcerated)
532,Gangosa
532,Rhinopharyngitis mutilans
533,Bone and joint lesions of yaws
533,Yaws ganglion
533,Yaws goundou
533,"Yaws gumma, bone"
533,Yaws gummatous osteitis or periostitis
533,Yaws hydrarthrosis
533,Yaws osteitis
533,Yaws periostitis (hypertrophic)
534,Other manifestations of yaws
534,Juxta-articular nodules of yaws
534,Mucosal yaws
535,Latent yaws
535,"Yaws without clinical manifestations, with positive serology"
536,"Yaws, unspecified"
537,Pinta [carate]
538,Primary lesions of pinta
