ICD CODE,DESCRIPTION
M8445,"pathological fracture, not elsewhere classified, pelvic region and thigh"
I516,"cardiovascular disease, unspecified"
R104,other and unspecified abdominal pain
J20,acute bronchitis
J06,acute upper respiratory infections of multiple and unspecified sites
J03,acute tonsillitis
C50,malignant neoplasm of breast
N40,hyperplasia of prostate
J300,vasomotor rhinitis
K51,ulcerative colitis
Z480,attention to surgical dressings and sutures
E55,vitamin d deficiency
J039,"acute tonsillitis, unspecified"
H68,eustachian salpingitis and obstruction
L710,perioral dermatitis
L23,allergic contact dermatitis
N911,secondary amenorrhoea
E03,other hypothyroidism
R103,pain localised to other parts of lower abdomen
M751,rotator cuff syndrome
Z27,need for immunisation against combinations of infectious diseases
S91,open wound of ankle and foot
L03,cellulitis
S420,fracture of clavicle
Z018,other specified special examinations
H651,other acute nonsuppurative otitis media
L032,cellulitis of face
H400,glaucoma suspect
Z354,supervision of pregnancy with grand multiparity
R50,fever of other and unknown origin
K296,other gastritis
Z000,general medical examination
H105,blepharoconjunctivitis
K0881,pathological fracture of tooth
J02,acute pharyngitis
H612,impacted cerumen
B07,viral warts
R26,abnormalities of gait and mobility
N309,"cystitis, unspecified"
L853,xerosis cutis
M543,sciatica
H608,other otitis externa
M511,lumbar and other intervertebral disc disorders with radiculopathy (g55.1*)
J068,other acute upper respiratory infections of multiple sites
K05,gingivitis and periodontal diseases
T784,"allergy, unspecified"
R53,malaise and fatigue
H931,tinnitus
R42,dizziness and giddiness
S013,open wound of ear and auditory structures
N771,"vaginitis, vulvitis and vulvovaginitis in infectious and parasitic diseases classified elsewhere"
J01,acute sinusitis
L50,urticaria
E11,type 2 diabetes mellitus
E05,thyrotoxicosis [hyperthyroidism]
E07,other disorders of thyroid
R501,persistent fever
N649,"disorder of breast, unspecified"
J450,predominantly allergic asthma
N926,"irregular menstruation, unspecified"
L210,seborrhoea capitis
L503,dermatographic urticaria
M626,muscle strain
H681,obstruction of eustachian tube
J45,asthma
J31,"chronic rhinitis, nasopharyngitis and pharyngitis"
B353,tinea pedis
R300,dysuria
B360,pityriasis versicolor
D25,leiomyoma of uterus
K41,femoral hernia
K590,constipation
D350,benign neoplasm of adrenal gland
S826,fracture of lateral malleolus
M766,achilles tendinitis
I738,other specified peripheral vascular diseases
S610,open wound of finger(s) without damage to nail
H183,changes in corneal membranes
K29,gastritis and duodenitis
M771,lateral epicondylitis
H91,other hearing loss
D50,iron deficiency anaemia
L708,other acne
M7923,"neuralgia and neuritis, unspecified, forearm"
K508,other crohn's disease
I781,"naevus, non-neoplastic"
K02,dental caries
S010,open wound of scalp
H905,"sensorineural hearing loss, unspecified"
H811,benign paroxysmal vertigo
Y58,bacterial vaccines causing adverse effects in therapeutic use
E30,"disorders of puberty, not elsewhere classified"
Z011,examination of ears and hearing
K044,acute apical periodontitis of pulpal origin
M722,plantar fascial fibromatosis
K210,gastro-oesophageal reflux disease with oesophagitis
L720,epidermal cyst
F411,generalised anxiety disorder
L20,atopic dermatitis
H103,"acute conjunctivitis, unspecified"
J303,other allergic rhinitis
L700,acne vulgaris
J020,streptococcal pharyngitis
S636,sprain and strain of finger(s)
E1165,type 2 diabetes mellitus with poor control
H60,otitis externa
R231,pallor
K291,other acute gastritis
L30,other dermatitis
A099,other gastroenteritis and colitis of unspecified origin
A099,gastroenteritis and colitis of unspecified origin
G433,complicated migraine
T212,"partial thickness [blisters, epidermal loss] burn of trunk"
I200,unstable angina
L218,other seborrhoeic dermatitis
Z090,follow-up examination after surgery for other conditions
M501,cervical disc disorder with radiculopathy
I21,acute myocardial infarction
N92,"excessive, frequent and irregular menstruation"
G44,other headache syndromes
K75,other inflammatory liver diseases
R233,spontaneous ecchymoses
H190,scleritis and episcleritis in diseases classified elsewhere
B351,tinea unguium
M4306,"spondylolysis, lumbar region"
R298,other and unspecified symptoms and signs involving the nervous and musculoskeletal systems
N93,other abnormal uterine and vaginal bleeding
G51,facial nerve disorders
K081,"loss of teeth due to accident, extraction or local periodontal disease"
H531,subjective visual disturbances
C25,malignant neoplasm of pancreas
H433,other vitreous opacities
N941,dyspareunia
K051,chronic gingivitis
K137,other and unspecified lesions of oral mucosa
L020,"cutaneous abscess, furuncle and carbuncle of face"
H20,iridocyclitis
C67,malignant neoplasm of bladder
M652,calcific tendinitis
H104,chronic conjunctivitis
K26,duodenal ulcer
M754,impingement syndrome of shoulder
L97,"ulcer of lower limb, not elsewhere classified"
N300,acute cystitis
J219,"acute bronchiolitis, unspecified"
L71,rosacea
B30,viral conjunctivitis
K900,coeliac disease
N30,cystitis
M0640,"inflammatory polyarthropathy, multiple sites"
H532,diplopia
M60,myositis
H903,"sensorineural hearing loss, bilateral"
G540,brachial plexus disorders
H101,acute atopic conjunctivitis
H906,"mixed conductive and sensorineural hearing loss, bilateral"
L85,other epidermal thickening
Z09,follow-up examination after treatment for conditions other than malignant neoplasms
K073,anomalies of tooth position
Z98,other postprocedural states
J10,influenza due to other identified influenza virus
S460,injury of muscles and tendons of the rotator cuff of shoulder
S460,injury of tendon of the rotator cuff of shoulder
L24,irritant contact dermatitis
H17,corneal scars and opacities
D486,neoplasm of uncertain or unknown behaviour of breast
K21,gastro-oesophageal reflux disease
M47,spondylosis
K27,"peptic ulcer, site unspecified"
K81,cholecystitis
C509,"malignant neoplasm of breast, unspecified part"
M2441,"recurrent dislocation and subluxation of joint, shoulder region"
K512,ulcerative (chronic) proctitis
H65,nonsuppurative otitis media
K074,"malocclusion, unspecified"
D110,benign neoplasm of parotid gland
K0701,hypoplasia of maxilla
O094,duration of pregnancy 26-33 completed weeks
N938,other specified abnormal uterine and vaginal bleeding
F33,recurrent depressive disorder
J459,"asthma, unspecified"
J060,acute laryngopharyngitis
I80,phlebitis and thrombophlebitis
S522,fracture of shaft of ulna
K529,"noninfective gastroenteritis and colitis, unspecified"
D24,benign neoplasm of breast
J040,acute laryngitis
S521,fracture of upper end of radius
B354,tinea corporis
M064,inflammatory polyarthropathy
M436,torticollis
J30,vasomotor and allergic rhinitis
N341,nonspecific urethritis
K050,acute gingivitis
H102,other acute conjunctivitis
S934,sprain and strain of ankle
M546,pain in thoracic spine
K580,irritable bowel syndrome with diarrhoea
G542,"cervical root disorders, not elsewhere classified"
F42,obsessive-compulsive disorder
S050,injury of conjunctiva and corneal abrasion without mention of foreign body
D177,benign lipomatous neoplasm of other sites
H66,suppurative and unspecified otitis media
L40,psoriasis
Z231,need for immunisation against typhoid-paratyphoid alone [tab]
N912,"amenorrhoea, unspecified"
M51,other intervertebral disc disorders
E161,other hypoglycaemia
G400,localisation-related (focal)(partial) idiopathic epilepsy and epileptic syndromes with seizures of localised onset
L22,diaper [napkin] dermatitis
R410,"disorientation, unspecified"
G049,"encephalitis, myelitis and encephalomyelitis, unspecified"
G562,lesion of ulnar nerve
R101,pain localised to upper abdomen
L02,"cutaneous abscess, furuncle and carbuncle"
M41,scoliosis
L42,pityriasis rosea
L21,seborrhoeic dermatitis
K111,hypertrophy of salivary gland
F32,depressive episode
C07,malignant neoplasm of parotid gland
R301,vesical tenesmus
M159,"polyarthrosis, unspecified"
M4126,"other idiopathic scoliosis, lumbar region"
F320,mild depressive episode
G61,inflammatory polyneuropathy
D334,benign neoplasm of spinal cord
M4317,"spondylolisthesis, lumbosacral region"
K5713,"diverticulitis of small intestine without perforation or abscess, with haemorrhage"
J108,"influenza with other manifestations, influenza virus identified"
K58,irritable bowel syndrome
J101,"influenza with other respiratory manifestations, influenza virus identified"
G932,benign intracranial hypertension
R11,nausea and vomiting
E782,mixed hyperlipidaemia
D17,benign lipomatous neoplasm
K099,"cyst of oral region, unspecified"
I11,hypertensive heart disease
G430,migraine without aura [common migraine]
K04,diseases of pulp and periapical tissues
M797,fibromyalgia
B80,enterobiasis
M531,cervicobrachial syndrome
H10,conjunctivitis
F41,other anxiety disorders
G442,tension-type headache
O093,duration of pregnancy 20-25 completed weeks
L280,lichen simplex chronicus
T07,unspecified multiple injuries
S90,superficial injury of ankle and foot
J050,acute obstructive laryngitis [croup]
R072,precordial pain
B00,herpesviral [herpes simplex] infections
I802,phlebitis and thrombophlebitis of other deep vessels of lower extremities
G543,"thoracic root disorders, not elsewhere classified"
L042,acute lymphadenitis of upper limb
S9222,"fracture of cuboid, foot"
M7920,"neuralgia and neuritis, unspecified, multiple sites"
N64,other disorders of breast
F31,bipolar affective disorder
Z48,other surgical follow-up care
K011,impacted teeth
N944,primary dysmenorrhoea
L208,other atopic dermatitis
G20,parkinson's disease
M6261,"muscle strain, shoulder region"
M250,haemarthrosis
N603,fibrosclerosis of breast
N411,chronic prostatitis
B081,molluscum contagiosum
A06,amoebiasis
S999,unspecified injury of ankle and foot
S923,fracture of metatarsal bone
S971,crushing injury of toe(s)
M54,dorsalgia
M202,hallux rigidus
K070,major anomalies of jaw size
E041,nontoxic single thyroid nodule
R829,other and unspecified abnormal findings in urine
R55,syncope and collapse
M130,"polyarthritis, unspecified"
E1131,type 2 diabetes mellitus with background retinopathy
E780,pure hypercholesterolaemia
N644,mastodynia
E221,hyperprolactinaemia
S5211,fracture of head of radius
I82,other venous embolism and thrombosis
E260,primary hyperaldosteronism
R10,abdominal and pelvic pain
M05,seropositive rheumatoid arthritis
F412,mixed anxiety and depressive disorder
K045,chronic apical periodontitis
T201,erythema of head and neck
B86,scabies
D352,benign neoplasm of pituitary gland
I618,other intracerebral haemorrhage
K5732,"diverticulitis of large intestine without perforation, abscess or mention of haemorrhage"
E232,diabetes insipidus
R071,chest pain on breathing
S63,"dislocation, sprain and strain of joints and ligaments at wrist and hand level"
S134,sprain and strain of cervical spine
E230,hypopituitarism
J118,"influenza with other manifestations, virus not identified"
R508,other specified fever
I25,chronic ischaemic heart disease
N511,disorders of testis and epididymis in diseases classified elsewhere
M7960,"pain in limb, multiple sites"
B850,pediculosis due to pediculus humanus capitis
L022,"cutaneous abscess, furuncle and carbuncle of trunk"
K290,acute haemorrhagic gastritis
M792,"neuralgia and neuritis, unspecified"
H332,serous retinal detachment
M796,pain in limb
K500,crohn's disease of small intestine
E871,hypo-osmolality and hyponatraemia
F067,mild cognitive disorder
T242,"partial thickness [blisters, epidermal loss] burn of hip and lower limb, except ankle and foot"
F064,organic anxiety disorder
H477,"disorder of visual pathways, unspecified"
H001,chalazion
Q670,facial asymmetry
L600,ingrowing nail
S099,unspecified injury of head
N42,other disorders of prostate
H500,convergent concomitant strabismus
T232,"partial thickness [blisters, epidermal loss] burn of wrist and hand"
I2512,"atherosclerotic heart disease, of autologous bypass graft"
S224,multiple rib fractures
J210,acute bronchiolitis due to respiratory syncytial virus
S0143,open wound of mandibular region
E343,"short stature, not elsewhere classified"
Y848,"other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
M6267,"muscle strain, ankle and foot"
L920,granuloma annulare
H401,primary open-angle glaucoma
A090,other gastroenteritis and colitis of infectious origin
F062,organic delusional [schizophrenia-like] disorder
S4242,fracture of lateral condyle of humerus
K523,indeterminate colitis
J11,"influenza, virus not identified"
R100,acute abdomen
N648,other specified disorders of breast
B379,"candidiasis, unspecified"
I479,"paroxysmal tachycardia, unspecified"
M1099,"gout, unspecified, site unspecified"
L739,"follicular disorder, unspecified"
W559,bitten or struck by unspecified mammal
M229,"disorder of patella, unspecified"
K519,"ulcerative colitis, unspecified"
K5700,"diverticulosis of small intestine with perforation and abscess, without mention of haemorrhage"
B9681,helicobacter pylori [h. pylori] as the cause of diseases classified to other chapters
L249,"irritant contact dermatitis, unspecified cause"
T091,"open wound of trunk, level unspecified"
D696,"thrombocytopenia, unspecified"
I828,embolism and thrombosis of other specified veins
S299,unspecified injury of thorax
R73,elevated blood glucose level
R945,abnormal results of liver function studies
N925,other specified irregular menstruation
R160,"hepatomegaly, not elsewhere classified"
R17,unspecified jaundice
M0594,"seropositive rheumatoid arthritis, unspecified, hand"
K2990,"gastroduodenitis, unspecified, without mention of haemorrhage"
L110,acquired keratosis follicularis
M4115,"juvenile idiopathic scoliosis, thoracolumbar region"
S869,injury of unspecified muscle and tendon at lower leg level
L560,drug phototoxic response
B89,unspecified parasitic disease
S3351,sprain and strain of lumbosacral [joint] [ligament]
M6737,"transient synovitis, ankle and foot"
K591,functional diarrhoea
J311,chronic nasopharyngitis
L039,"cellulitis, unspecified"
Z279,need for immunisation against unspecified combinations of infectious diseases
I809,phlebitis and thrombophlebitis of unspecified site
N959,"menopausal and perimenopausal disorder, unspecified"
M5499,"unspecified dorsalgia, site unspecified"
R001,"bradycardia, unspecified"
E059,"thyrotoxicosis, unspecified"
M222,patellofemoral disorders
S6360,"sprain and strain of finger(s), part unspecified"
M7965,"pain in limb, pelvic region and thigh"
G501,atypical facial pain
F81,specific developmental disorders of scholastic skills
F322,severe depressive episode without psychotic symptoms
F0630,"organic mood [affective] disorders, unspecified"
J15,"bacterial pneumonia, not elsewhere classified"
R268,other and unspecified abnormalities of gait and mobility
F98,other behavioural and emotional disorders with onset usually occurring in childhood and adolescence
F401,social phobias
R060,dyspnoea
I06,rheumatic aortic valve diseases
M50,cervical disc disorders
F518,other nonorganic sleep disorders
M4720,"other spondylosis with radiculopathy, multiple sites in spine"
G35,multiple sclerosis
E078,other specified disorders of thyroid
I20,angina pectoris
R943,abnormal results of cardiovascular function studies
G473,sleep apnoea
F200,paranoid schizophrenia
E1011,"type 1 diabetes mellitus with ketoacidosis, without coma"
J849,"interstitial pulmonary disease, unspecified"
F410,panic disorder [episodic paroxysmal anxiety]
E149,unspecified diabetes mellitus without complication
E06,thyroiditis
E10,type 1 diabetes mellitus
C71,malignant neoplasm of brain
E88,other metabolic disorders
J158,other bacterial pneumonia
F2311,acute polymorphic psychotic disorder with symptoms of schizophrenia with acute stress
J39,other diseases of upper respiratory tract
G572,lesion of femoral nerve
G40,epilepsy
S824,fracture of fibula alone
O210,mild hyperemesis gravidarum
F429,"obsessive-compulsive disorder, unspecified"
M510,lumbar and other intervertebral disc disorders with myelopathy
M7966,"pain in limb, lower leg"
E639,"nutritional deficiency, unspecified"
K130,diseases of lips
R480,dyslexia and alexia
I60,subarachnoid haemorrhage
N830,follicular cyst of ovary
M4782,"other spondylosis, cervical region"
Z39,postpartum care and examination
S534,sprain and strain of elbow
M2553,"pain in a joint, forearm"
M4316,"spondylolisthesis, lumbar region"
F208,other schizophrenia
K625,haemorrhage of anus and rectum
R251,"tremor, unspecified"
L73,other follicular disorders
N399,"disorder of urinary system, unspecified"
S0041,"superficial injury of ear, abrasion"
D321,benign neoplasm of spinal meninges
F900,disturbance of activity and attention
M411,juvenile idiopathic scoliosis
E1172,type 2 diabetes mellitus with features of insulin resistance
G43,migraine
N394,other specified urinary incontinence
T23,burn of wrist and hand
L239,"allergic contact dermatitis, unspecified cause"
H72,perforation of tympanic membrane
K5733,"diverticulitis of large intestine without perforation or abscess, with haemorrhage"
F93,emotional disorders with onset specific to childhood
M6265,"muscle strain, pelvic region and thigh"
S821,fracture of upper end of tibia
H653,chronic mucoid otitis media
F432,adjustment disorders
F321,moderate depressive episode
M67,other disorders of synovium and tendon
K25,gastric ulcer
